"Geographic code","Geographic name","Geographic type","Geographic name, Province or territory","Geographic code, Province or territory","Additional province code","Global non-response rate","Data quality flag","Income source","Sex","Total population 15 years and over, 2006","Total population 15 years and over, 2016","Number of income recipients, 2005","Number of income recipients, 2015","Median amount (2015 constant dollars), 2005","Median amount (2015 constant dollars), 2015","Median amount (2015 constant dollars), % change"
"437","Cowansville","CA","Quebec","24","",6.2,"00000","Total income","Both sexes",9600,10690,9300,10415,27333,29097,6.5
"437","Cowansville","CA","Quebec","24","",6.2,"00000","Total income","Males",4550,5215,4370,5075,32868,34185,4.0
"437","Cowansville","CA","Quebec","24","",6.2,"00000","Total income","Females",5050,5475,4930,5340,22999,24983,8.6
"437","Cowansville","CA","Quebec","24","",6.2,"00000","After-tax income","Both sexes",9600,10690,9300,10420,25181,26633,5.8
"437","Cowansville","CA","Quebec","24","",6.2,"00000","After-tax income","Males",4550,5215,4365,5075,28951,29952,3.5
"437","Cowansville","CA","Quebec","24","",6.2,"00000","After-tax income","Females",5050,5475,4935,5340,22056,23518,6.6
"437","Cowansville","CA","Quebec","24","",6.2,"00000","Employment income","Both sexes",9600,10690,6570,7015,27590,27872,1.0
"437","Cowansville","CA","Quebec","24","",6.2,"00000","Employment income","Males",4550,5215,3300,3670,32922,32418,-1.5
"437","Cowansville","CA","Quebec","24","",6.2,"00000","Employment income","Females",5050,5475,3270,3350,22933,23739,3.5
"440","Victoriaville","CA","Quebec","24","",4.9,"00000","Total income","Both sexes",34315,39115,32920,38365,27629,30792,11.4
"440","Victoriaville","CA","Quebec","24","",4.9,"00000","Total income","Males",16445,18970,15845,18650,35070,35870,2.3
"440","Victoriaville","CA","Quebec","24","",4.9,"00000","Total income","Females",17870,20140,17070,19710,21466,26329,22.7
"440","Victoriaville","CA","Quebec","24","",4.9,"00000","After-tax income","Both sexes",34315,39115,32910,38375,25490,27769,8.9
"440","Victoriaville","CA","Quebec","24","",4.9,"00000","After-tax income","Males",16445,18970,15850,18655,30496,31467,3.2
"440","Victoriaville","CA","Quebec","24","",4.9,"00000","After-tax income","Females",17870,20140,17070,19720,20674,24402,18.0
"440","Victoriaville","CA","Quebec","24","",4.9,"00000","Employment income","Both sexes",34315,39115,23430,26725,28364,28726,1.3
"440","Victoriaville","CA","Quebec","24","",4.9,"00000","Employment income","Males",16445,18970,12230,13835,34952,33817,-3.2
"440","Victoriaville","CA","Quebec","24","",4.9,"00000","Employment income","Females",17870,20140,11200,12895,21601,24533,13.6
"442","Trois-Rivières","CMA","Quebec","24","",4.3,"00000","Total income","Both sexes",119560,127885,113820,124340,26258,30920,17.8
"442","Trois-Rivières","CMA","Quebec","24","",4.3,"00000","Total income","Males",57315,62130,55250,60575,34447,36629,6.3
"442","Trois-Rivières","CMA","Quebec","24","",4.3,"00000","Total income","Females",62245,65755,58565,63765,20624,25724,24.7
"442","Trois-Rivières","CMA","Quebec","24","",4.3,"00000","After-tax income","Both sexes",119560,127885,113780,124390,24532,27873,13.6
"442","Trois-Rivières","CMA","Quebec","24","",4.3,"00000","After-tax income","Males",57315,62130,55245,60575,30492,32331,6.0
"442","Trois-Rivières","CMA","Quebec","24","",4.3,"00000","After-tax income","Females",62245,65755,58530,63815,20097,23902,18.9
"442","Trois-Rivières","CMA","Quebec","24","",4.3,"00000","Employment income","Both sexes",119560,127885,76700,84105,28342,28984,2.3
"442","Trois-Rivières","CMA","Quebec","24","",4.3,"00000","Employment income","Males",57315,62130,41245,43610,34808,33040,-5.1
"442","Trois-Rivières","CMA","Quebec","24","",4.3,"00000","Employment income","Females",62245,65755,35455,40500,22564,25166,11.5
"444","Shawinigan","CA","Quebec","24","",3.9,"00000","Total income","Both sexes",46775,45340,44355,44105,23563,28106,19.3
"444","Shawinigan","CA","Quebec","24","",3.9,"00000","Total income","Males",22300,22115,21550,21615,32081,34299,6.9
"444","Shawinigan","CA","Quebec","24","",3.9,"00000","Total income","Females",24470,23220,22805,22490,18942,23054,21.7
"444","Shawinigan","CA","Quebec","24","",3.9,"00000","After-tax income","Both sexes",46775,45340,44380,44125,22467,25738,14.6
"444","Shawinigan","CA","Quebec","24","",3.9,"00000","After-tax income","Males",22300,22115,21550,21615,28746,30448,5.9
"444","Shawinigan","CA","Quebec","24","",3.9,"00000","After-tax income","Females",24470,23220,22830,22510,18587,21793,17.2
"444","Shawinigan","CA","Quebec","24","",3.9,"00000","Employment income","Both sexes",46775,45340,27110,26860,24984,25878,3.6
"444","Shawinigan","CA","Quebec","24","",3.9,"00000","Employment income","Males",22300,22115,14995,14370,31522,28174,-10.6
"444","Shawinigan","CA","Quebec","24","",3.9,"00000","Employment income","Females",24470,23220,12120,12495,19741,23699,20.0
"447","Drummondville","CA","Quebec","24","",4.5,"00000","Total income","Both sexes",68520,76620,65450,74665,27703,30700,10.8
"447","Drummondville","CA","Quebec","24","",4.5,"00000","Total income","Males",33690,38080,32455,37195,34561,35850,3.7
"447","Drummondville","CA","Quebec","24","",4.5,"00000","Total income","Females",34830,38545,32995,37465,21815,25906,18.8
"447","Drummondville","CA","Quebec","24","",4.5,"00000","After-tax income","Both sexes",68520,76620,65445,74680,25676,27793,8.2
"447","Drummondville","CA","Quebec","24","",4.5,"00000","After-tax income","Males",33690,38080,32450,37195,30140,31464,4.4
"447","Drummondville","CA","Quebec","24","",4.5,"00000","After-tax income","Females",34830,38545,33000,37480,21154,24145,14.1
"447","Drummondville","CA","Quebec","24","",4.5,"00000","Employment income","Both sexes",68520,76620,46950,53150,28282,29532,4.4
"447","Drummondville","CA","Quebec","24","",4.5,"00000","Employment income","Males",33690,38080,25085,28090,34696,34994,0.9
"447","Drummondville","CA","Quebec","24","",4.5,"00000","Employment income","Females",34830,38545,21870,25060,22235,24438,9.9
"450","Granby","CA","Quebec","24","",4.0,"00000","Total income","Both sexes",60345,68815,58175,67175,28752,32386,12.6
"450","Granby","CA","Quebec","24","",4.0,"00000","Total income","Males",29360,33730,28520,32980,36683,37987,3.6
"450","Granby","CA","Quebec","24","",4.0,"00000","Total income","Females",30980,35085,29655,34200,23177,27352,18.0
"450","Granby","CA","Quebec","24","",4.0,"00000","After-tax income","Both sexes",60345,68815,58185,67200,26503,28967,9.3
"450","Granby","CA","Quebec","24","",4.0,"00000","After-tax income","Males",29360,33730,28530,32980,31579,33052,4.7
"450","Granby","CA","Quebec","24","",4.0,"00000","After-tax income","Females",30980,35085,29655,34220,22208,25085,13.0
"450","Granby","CA","Quebec","24","",4.0,"00000","Employment income","Both sexes",60345,68815,43290,47985,29612,30207,2.0
"450","Granby","CA","Quebec","24","",4.0,"00000","Employment income","Males",29360,33730,22650,24985,36706,35300,-3.8
"450","Granby","CA","Quebec","24","",4.0,"00000","Employment income","Females",30980,35085,20645,23005,23330,25631,9.9
"452","Saint-Hyacinthe","CA","Quebec","24","",5.2,"00000","Total income","Both sexes",44610,47710,43095,46570,28924,31387,8.5
"452","Saint-Hyacinthe","CA","Quebec","24","",5.2,"00000","Total income","Males",21280,23015,20705,22520,35655,36334,1.9
"452","Saint-Hyacinthe","CA","Quebec","24","",5.2,"00000","Total income","Females",23320,24695,22390,24050,23413,27092,15.7
"452","Saint-Hyacinthe","CA","Quebec","24","",5.2,"00000","After-tax income","Both sexes",44610,47710,43095,46575,26462,28268,6.8
"452","Saint-Hyacinthe","CA","Quebec","24","",5.2,"00000","After-tax income","Males",21280,23015,20700,22520,30967,31988,3.3
"452","Saint-Hyacinthe","CA","Quebec","24","",5.2,"00000","After-tax income","Females",23320,24695,22395,24055,22436,25049,11.6
"452","Saint-Hyacinthe","CA","Quebec","24","",5.2,"00000","Employment income","Both sexes",44610,47710,30800,32785,29703,30027,1.1
"452","Saint-Hyacinthe","CA","Quebec","24","",5.2,"00000","Employment income","Males",21280,23015,16040,16880,35097,34632,-1.3
"452","Saint-Hyacinthe","CA","Quebec","24","",5.2,"00000","Employment income","Females",23320,24695,14760,15910,24549,25771,5.0
"454","Sorel-Tracy","CA","Quebec","24","",4.1,"00000","Total income","Both sexes",34610,34950,32900,34000,26265,30154,14.8
"454","Sorel-Tracy","CA","Quebec","24","",4.1,"00000","Total income","Males",16830,17175,16220,16810,36788,38205,3.9
"454","Sorel-Tracy","CA","Quebec","24","",4.1,"00000","Total income","Females",17785,17775,16685,17195,19502,23089,18.4
"454","Sorel-Tracy","CA","Quebec","24","",4.1,"00000","After-tax income","Both sexes",34610,34950,32905,34005,24413,27501,12.6
"454","Sorel-Tracy","CA","Quebec","24","",4.1,"00000","After-tax income","Males",16830,17175,16220,16810,31855,33734,5.9
"454","Sorel-Tracy","CA","Quebec","24","",4.1,"00000","After-tax income","Females",17785,17775,16680,17200,19163,21865,14.1
"454","Sorel-Tracy","CA","Quebec","24","",4.1,"00000","Employment income","Both sexes",34610,34950,21030,21080,29446,30976,5.2
"454","Sorel-Tracy","CA","Quebec","24","",4.1,"00000","Employment income","Males",16830,17175,11735,11340,38653,38612,-0.1
"454","Sorel-Tracy","CA","Quebec","24","",4.1,"00000","Employment income","Females",17785,17775,9295,9735,21313,24782,16.3
"456","Joliette","CA","Quebec","24","",5.3,"00000","Total income","Both sexes",35240,39970,33665,38810,26771,30216,12.9
"456","Joliette","CA","Quebec","24","",5.3,"00000","Total income","Males",16390,18990,15865,18475,34229,35319,3.2
"456","Joliette","CA","Quebec","24","",5.3,"00000","Total income","Females",18850,20985,17800,20335,21730,26052,19.9
"456","Joliette","CA","Quebec","24","",5.3,"00000","After-tax income","Both sexes",35240,39970,33660,38815,24966,27437,9.9
"456","Joliette","CA","Quebec","24","",5.3,"00000","After-tax income","Males",16390,18990,15860,18480,30098,31281,3.9
"456","Joliette","CA","Quebec","24","",5.3,"00000","After-tax income","Females",18850,20985,17800,20340,21188,24243,14.4
"456","Joliette","CA","Quebec","24","",5.3,"00000","Employment income","Both sexes",35240,39970,22270,24990,29624,29149,-1.6
"456","Joliette","CA","Quebec","24","",5.3,"00000","Employment income","Males",16390,18990,11495,12795,35461,33501,-5.5
"456","Joliette","CA","Quebec","24","",5.3,"00000","Employment income","Females",18850,20985,10775,12200,24119,25282,4.8
"462","Montréal","CMA","Quebec","24","",3.3,"20000","Total income","Both sexes",3035950,3319405,2886595,3188850,29841,33040,10.7
"462","Montréal","CMA","Quebec","24","",3.3,"20000","Total income","Males",1461305,1614055,1396735,1552825,35987,37389,3.9
"462","Montréal","CMA","Quebec","24","",3.3,"20000","Total income","Females",1574645,1705350,1489855,1636020,24829,29280,17.9
"462","Montréal","CMA","Quebec","24","",3.3,"20000","After-tax income","Both sexes",3035950,3319405,2886140,3189480,27324,29665,8.6
"462","Montréal","CMA","Quebec","24","",3.3,"20000","After-tax income","Males",1461305,1614055,1396400,1552930,31432,32824,4.4
"462","Montréal","CMA","Quebec","24","",3.3,"20000","After-tax income","Females",1574645,1705350,1489740,1636550,23518,26822,14.0
"462","Montréal","CMA","Quebec","24","",3.3,"20000","Employment income","Both sexes",3035950,3319405,2105610,2335685,31638,32153,1.6
"462","Montréal","CMA","Quebec","24","",3.3,"20000","Employment income","Males",1461305,1614055,1087640,1199870,36840,36210,-1.7
"462","Montréal","CMA","Quebec","24","",3.3,"20000","Employment income","Females",1574645,1705350,1017970,1135815,26808,28453,6.1
"465","Salaberry-de-Valleyfield","CA","Quebec","24","",5.0,"00000","Total income","Both sexes",32685,33430,30925,32455,27659,29972,8.4
"465","Salaberry-de-Valleyfield","CA","Quebec","24","",5.0,"00000","Total income","Males",15570,16190,14885,15755,36581,35842,-2.0
"465","Salaberry-de-Valleyfield","CA","Quebec","24","",5.0,"00000","Total income","Females",17115,17245,16040,16705,21281,24419,14.7
"465","Salaberry-de-Valleyfield","CA","Quebec","24","",5.0,"00000","After-tax income","Both sexes",32685,33430,30925,32470,25566,27308,6.8
"465","Salaberry-de-Valleyfield","CA","Quebec","24","",5.0,"00000","After-tax income","Males",15570,16190,14885,15760,31733,31686,-0.1
"465","Salaberry-de-Valleyfield","CA","Quebec","24","",5.0,"00000","After-tax income","Females",17115,17245,16040,16715,20573,23015,11.9
"465","Salaberry-de-Valleyfield","CA","Quebec","24","",5.0,"00000","Employment income","Both sexes",32685,33430,20955,21715,29888,28242,-5.5
"465","Salaberry-de-Valleyfield","CA","Quebec","24","",5.0,"00000","Employment income","Males",15570,16190,11200,11595,36711,32560,-11.3
"465","Salaberry-de-Valleyfield","CA","Quebec","24","",5.0,"00000","Employment income","Females",17115,17245,9760,10115,24145,24635,2.0
"468","Lachute","CA","Quebec","24","",4.5,"00000","Total income","Both sexes",9730,10625,9240,10310,24466,25460,4.1
"468","Lachute","CA","Quebec","24","",4.5,"00000","Total income","Males",4580,5110,4450,4985,29493,29883,1.3
"468","Lachute","CA","Quebec","24","",4.5,"00000","Total income","Females",5150,5510,4790,5325,21171,22512,6.3
"468","Lachute","CA","Quebec","24","",4.5,"00000","After-tax income","Both sexes",9730,10625,9230,10315,22992,23965,4.2
"468","Lachute","CA","Quebec","24","",4.5,"00000","After-tax income","Males",4580,5110,4450,4985,26484,27415,3.5
"468","Lachute","CA","Quebec","24","",4.5,"00000","After-tax income","Females",5150,5510,4780,5330,20526,21525,4.9
"468","Lachute","CA","Quebec","24","",4.5,"00000","Employment income","Both sexes",9730,10625,6115,6430,25085,24456,-2.5
"468","Lachute","CA","Quebec","24","",4.5,"00000","Employment income","Males",4580,5110,3220,3335,29846,28032,-6.1
"468","Lachute","CA","Quebec","24","",4.5,"00000","Employment income","Females",5150,5510,2890,3090,22056,21557,-2.3
"47840","Lloydminster (Saskatchewan part)","CA","Alberta","48","48",4.2,"00000","Total income","Both sexes",8605,11305,8340,10825,31867,41685,30.8
"47840","Lloydminster (Saskatchewan part)","CA","Alberta","48","48",4.2,"00000","Total income","Males",4515,5765,4405,5560,46927,55652,18.6
"47840","Lloydminster (Saskatchewan part)","CA","Alberta","48","48",4.2,"00000","Total income","Females",4090,5535,3935,5270,22365,32320,44.5
"47840","Lloydminster (Saskatchewan part)","CA","Alberta","48","48",4.2,"00000","After-tax income","Both sexes",8605,11305,8340,10830,28142,37122,31.9
"47840","Lloydminster (Saskatchewan part)","CA","Alberta","48","48",4.2,"00000","After-tax income","Males",4515,5765,4405,5555,38913,46871,20.5
"47840","Lloydminster (Saskatchewan part)","CA","Alberta","48","48",4.2,"00000","After-tax income","Females",4090,5535,3935,5270,21137,29824,41.1
"47840","Lloydminster (Saskatchewan part)","CA","Alberta","48","48",4.2,"00000","Employment income","Both sexes",8605,11305,7200,9395,31148,40366,29.6
"47840","Lloydminster (Saskatchewan part)","CA","Alberta","48","48",4.2,"00000","Employment income","Males",4515,5765,3995,5000,46897,54528,16.3
"47840","Lloydminster (Saskatchewan part)","CA","Alberta","48","48",4.2,"00000","Employment income","Females",4090,5535,3205,4400,20181,29678,47.1
"480","Val-d'Or","CA","Quebec","24","",4.7,"00000","Total income","Both sexes",25655,27180,24345,26485,28379,35274,24.3
"480","Val-d'Or","CA","Quebec","24","",4.7,"00000","Total income","Males",12785,13725,12315,13460,37843,45134,19.3
"480","Val-d'Or","CA","Quebec","24","",4.7,"00000","Total income","Females",12870,13455,12030,13030,21628,27658,27.9
"480","Val-d'Or","CA","Quebec","24","",4.7,"00000","After-tax income","Both sexes",25655,27180,24345,26490,26452,31255,18.2
"480","Val-d'Or","CA","Quebec","24","",4.7,"00000","After-tax income","Males",12785,13725,12310,13460,32895,38510,17.1
"480","Val-d'Or","CA","Quebec","24","",4.7,"00000","After-tax income","Females",12870,13455,12030,13030,20990,25280,20.4
"480","Val-d'Or","CA","Quebec","24","",4.7,"00000","Employment income","Both sexes",25655,27180,17585,19845,30759,35544,15.6
"480","Val-d'Or","CA","Quebec","24","",4.7,"00000","Employment income","Males",12785,13725,9395,10655,41291,47593,15.3
"480","Val-d'Or","CA","Quebec","24","",4.7,"00000","Employment income","Females",12870,13455,8195,9190,21743,26564,22.2
"485","Rouyn-Noranda","CA","Quebec","24","",4.2,"00000","Total income","Both sexes",32350,34150,30755,33260,28762,35363,23.0
"485","Rouyn-Noranda","CA","Quebec","24","",4.2,"00000","Total income","Males",15950,17165,15315,16805,37575,44116,17.4
"485","Rouyn-Noranda","CA","Quebec","24","",4.2,"00000","Total income","Females",16400,16990,15435,16455,21176,27826,31.4
"485","Rouyn-Noranda","CA","Quebec","24","",4.2,"00000","After-tax income","Both sexes",32350,34150,30770,33275,26632,31150,17.0
"485","Rouyn-Noranda","CA","Quebec","24","",4.2,"00000","After-tax income","Males",15950,17165,15320,16805,32559,37684,15.7
"485","Rouyn-Noranda","CA","Quebec","24","",4.2,"00000","After-tax income","Females",16400,16990,15450,16460,20453,25264,23.5
"485","Rouyn-Noranda","CA","Quebec","24","",4.2,"00000","Employment income","Both sexes",32350,34150,22080,24980,30054,33786,12.4
"485","Rouyn-Noranda","CA","Quebec","24","",4.2,"00000","Employment income","Males",15950,17165,11860,13390,38068,43380,14.0
"485","Rouyn-Noranda","CA","Quebec","24","",4.2,"00000","Employment income","Females",16400,16990,10220,11590,21892,26106,19.2
"48840","Lloydminster (Alberta part)","CA","Alberta","48","47",3.7,"00000","Total income","Both sexes",12205,14945,11815,14320,38752,47914,23.6
"48840","Lloydminster (Alberta part)","CA","Alberta","48","47",3.7,"00000","Total income","Males",6060,7430,5915,7140,61150,68181,11.5
"48840","Lloydminster (Alberta part)","CA","Alberta","48","47",3.7,"00000","Total income","Females",6140,7515,5900,7180,25862,35564,37.5
"48840","Lloydminster (Alberta part)","CA","Alberta","48","47",3.7,"00000","After-tax income","Both sexes",12205,14945,11805,14320,34627,41704,20.4
"48840","Lloydminster (Alberta part)","CA","Alberta","48","47",3.7,"00000","After-tax income","Males",6060,7430,5915,7135,50294,56336,12.0
"48840","Lloydminster (Alberta part)","CA","Alberta","48","47",3.7,"00000","After-tax income","Females",6140,7515,5890,7180,24508,32153,31.2
"48840","Lloydminster (Alberta part)","CA","Alberta","48","47",3.7,"00000","Employment income","Both sexes",12205,14945,10025,12125,40133,45189,12.6
"48840","Lloydminster (Alberta part)","CA","Alberta","48","47",3.7,"00000","Employment income","Males",6060,7430,5360,6340,62512,65097,4.1
"48840","Lloydminster (Alberta part)","CA","Alberta","48","47",3.7,"00000","Employment income","Females",6140,7515,4665,5785,24573,32608,32.7
"501","Cornwall","CA","Ontario","35","",4.0,"00000","Total income","Both sexes",47040,48820,44785,46915,26554,28390,6.9
"501","Cornwall","CA","Ontario","35","",4.0,"00000","Total income","Males",22355,23505,21375,22595,34319,33232,-3.2
"501","Cornwall","CA","Ontario","35","",4.0,"00000","Total income","Females",24685,25315,23405,24325,21940,24844,13.2
"501","Cornwall","CA","Ontario","35","",4.0,"00000","After-tax income","Both sexes",47040,48820,44800,46925,24644,26384,7.1
"501","Cornwall","CA","Ontario","35","",4.0,"00000","After-tax income","Males",22355,23505,21400,22595,30566,30314,-0.8
"501","Cornwall","CA","Ontario","35","",4.0,"00000","After-tax income","Females",24685,25315,23400,24335,21133,23575,11.6
"501","Cornwall","CA","Ontario","35","",4.0,"00000","Employment income","Both sexes",47040,48820,29780,30400,27966,28062,0.3
"501","Cornwall","CA","Ontario","35","",4.0,"00000","Employment income","Males",22355,23505,15515,15875,34503,31438,-8.9
"501","Cornwall","CA","Ontario","35","",4.0,"00000","Employment income","Females",24685,25315,14265,14520,23278,24881,6.9
"502","Hawkesbury","CA","Ontario","35","24",4.5,"00000","Total income","Both sexes",9805,9945,9305,9600,23409,25632,9.5
"502","Hawkesbury","CA","Ontario","35","24",4.5,"00000","Total income","Males",4650,4685,4450,4540,32488,31040,-4.5
"502","Hawkesbury","CA","Ontario","35","24",4.5,"00000","Total income","Females",5160,5255,4860,5060,19327,21859,13.1
"502","Hawkesbury","CA","Ontario","35","24",4.5,"00000","After-tax income","Both sexes",9805,9945,9305,9600,22340,24285,8.7
"502","Hawkesbury","CA","Ontario","35","24",4.5,"00000","After-tax income","Males",4650,4685,4445,4545,28885,28442,-1.5
"502","Hawkesbury","CA","Ontario","35","24",4.5,"00000","After-tax income","Females",5160,5255,4860,5060,19077,21168,11.0
"502","Hawkesbury","CA","Ontario","35","24",4.5,"00000","Employment income","Both sexes",9805,9945,5660,5725,25796,25783,-0.1
"502","Hawkesbury","CA","Ontario","35","24",4.5,"00000","Employment income","Males",4650,4685,3085,2975,32292,29255,-9.4
"502","Hawkesbury","CA","Ontario","35","24",4.5,"00000","Employment income","Females",5160,5255,2575,2750,18368,22656,23.3
"505","Ottawa - Gatineau","CMA","Ontario","35","24",3.5,"00000","Total income","Both sexes",926555,1073835,884045,1028705,38109,41241,8.2
"505","Ottawa - Gatineau","CMA","Ontario","35","24",3.5,"00000","Total income","Males",446630,519980,427250,498065,45815,46738,2.0
"505","Ottawa - Gatineau","CMA","Ontario","35","24",3.5,"00000","Total income","Females",479925,553855,456795,530635,32356,36869,13.9
"505","Ottawa - Gatineau","CMA","Ontario","35","24",3.5,"00000","After-tax income","Both sexes",926555,1073835,883955,1029070,33574,36258,8.0
"505","Ottawa - Gatineau","CMA","Ontario","35","24",3.5,"00000","After-tax income","Males",446630,519980,427190,498110,38953,40420,3.8
"505","Ottawa - Gatineau","CMA","Ontario","35","24",3.5,"00000","After-tax income","Females",479925,553855,456765,530955,29252,32858,12.3
"505","Ottawa - Gatineau","CMA","Ontario","35","24",3.5,"00000","Employment income","Both sexes",926555,1073835,679065,773290,40013,40109,0.2
"505","Ottawa - Gatineau","CMA","Ontario","35","24",3.5,"00000","Employment income","Males",446630,519980,344790,390165,46098,44501,-3.5
"505","Ottawa - Gatineau","CMA","Ontario","35","24",3.5,"00000","Employment income","Females",479925,553855,334275,383125,35253,36367,3.2
"507","Arnprior","CA","Ontario","35","",3.5,"00000","Total income","Both sexes",11835,13275,11310,12860,33199,35413,6.7
"507","Arnprior","CA","Ontario","35","",3.5,"00000","Total income","Males",5715,6450,5480,6255,43033,43317,0.7
"507","Arnprior","CA","Ontario","35","",3.5,"00000","Total income","Females",6120,6820,5830,6600,24053,29297,21.8
"507","Arnprior","CA","Ontario","35","",3.5,"00000","After-tax income","Both sexes",11835,13275,11315,12860,29593,31888,7.8
"507","Arnprior","CA","Ontario","35","",3.5,"00000","After-tax income","Males",5715,6450,5480,6255,37424,38133,1.9
"507","Arnprior","CA","Ontario","35","",3.5,"00000","After-tax income","Females",6120,6820,5835,6605,22738,26898,18.3
"507","Arnprior","CA","Ontario","35","",3.5,"00000","Employment income","Both sexes",11835,13275,8225,9190,34566,33161,-4.1
"507","Arnprior","CA","Ontario","35","",3.5,"00000","Employment income","Males",5715,6450,4330,4715,42827,41305,-3.6
"507","Arnprior","CA","Ontario","35","",3.5,"00000","Employment income","Females",6120,6820,3900,4475,24756,27880,12.6
"509","Carleton Place","CA","Ontario","35","",4.1,"00000","Total income","Both sexes",21815,25575,20880,24685,35577,40194,13.0
"509","Carleton Place","CA","Ontario","35","",4.1,"00000","Total income","Males",10635,12425,10265,11975,44904,48518,8.0
"509","Carleton Place","CA","Ontario","35","",4.1,"00000","Total income","Females",11185,13155,10615,12705,29056,33314,14.7
"509","Carleton Place","CA","Ontario","35","",4.1,"00000","After-tax income","Both sexes",21815,25575,20865,24700,31380,35713,13.8
"509","Carleton Place","CA","Ontario","35","",4.1,"00000","After-tax income","Males",10635,12425,10250,11975,38798,42249,8.9
"509","Carleton Place","CA","Ontario","35","",4.1,"00000","After-tax income","Females",11185,13155,10610,12720,26165,30174,15.3
"509","Carleton Place","CA","Ontario","35","",4.1,"00000","Employment income","Both sexes",21815,25575,16045,18505,35797,37420,4.5
"509","Carleton Place","CA","Ontario","35","",4.1,"00000","Employment income","Males",10635,12425,8300,9440,43755,45343,3.6
"509","Carleton Place","CA","Ontario","35","",4.1,"00000","Employment income","Females",11185,13155,7745,9070,30003,31232,4.1
"512","Brockville","CA","Ontario","35","",4.0,"00000","Total income","Both sexes",32230,32595,31010,31425,30695,32265,5.1
"512","Brockville","CA","Ontario","35","",4.0,"00000","Total income","Males",15380,15570,14890,15000,38322,37990,-0.9
"512","Brockville","CA","Ontario","35","",4.0,"00000","Total income","Females",16850,17025,16120,16420,25040,27891,11.4
"512","Brockville","CA","Ontario","35","",4.0,"00000","After-tax income","Both sexes",32230,32595,31010,31435,27836,29434,5.7
"512","Brockville","CA","Ontario","35","",4.0,"00000","After-tax income","Males",15380,15570,14885,15000,33588,34131,1.6
"512","Brockville","CA","Ontario","35","",4.0,"00000","After-tax income","Females",16850,17025,16125,16430,23574,25787,9.4
"512","Brockville","CA","Ontario","35","",4.0,"00000","Employment income","Both sexes",32230,32595,21885,21120,29503,29061,-1.5
"512","Brockville","CA","Ontario","35","",4.0,"00000","Employment income","Males",15380,15570,11375,10755,35478,33521,-5.5
"512","Brockville","CA","Ontario","35","",4.0,"00000","Employment income","Females",16850,17025,10505,10370,23573,25305,7.3
"515","Pembroke","CA","Ontario","35","",4.3,"00000","Total income","Both sexes",18630,18965,17865,18310,28491,32161,12.9
"515","Pembroke","CA","Ontario","35","",4.3,"00000","Total income","Males",8865,9150,8570,8860,38120,39635,4.0
"515","Pembroke","CA","Ontario","35","",4.3,"00000","Total income","Females",9765,9810,9295,9450,22103,26853,21.5
"515","Pembroke","CA","Ontario","35","",4.3,"00000","After-tax income","Both sexes",18630,18965,17860,18315,26323,29554,12.3
"515","Pembroke","CA","Ontario","35","",4.3,"00000","After-tax income","Males",8865,9150,8575,8855,33799,35576,5.3
"515","Pembroke","CA","Ontario","35","",4.3,"00000","After-tax income","Females",9765,9810,9285,9460,21425,25019,16.8
"515","Pembroke","CA","Ontario","35","",4.3,"00000","Employment income","Both sexes",18630,18965,12020,12365,30152,32174,6.7
"515","Pembroke","CA","Ontario","35","",4.3,"00000","Employment income","Males",8865,9150,6310,6350,39072,38600,-1.2
"515","Pembroke","CA","Ontario","35","",4.3,"00000","Employment income","Females",9765,9810,5710,6020,22156,26752,20.7
"516","Petawawa","CA","Ontario","35","",7.6,"00100","Total income","Both sexes",10780,12520,10225,12080,40960,50371,23.0
"516","Petawawa","CA","Ontario","35","",7.6,"00100","Total income","Males",5530,6535,5295,6360,60139,63499,5.6
"516","Petawawa","CA","Ontario","35","",7.6,"00100","Total income","Females",5250,5985,4930,5715,20486,28407,38.7
"516","Petawawa","CA","Ontario","35","",7.6,"00100","After-tax income","Both sexes",10780,12520,10225,12085,35815,43950,22.7
"516","Petawawa","CA","Ontario","35","",7.6,"00100","After-tax income","Males",5530,6535,5295,6365,49472,53642,8.4
"516","Petawawa","CA","Ontario","35","",7.6,"00100","After-tax income","Females",5250,5985,4930,5720,19985,26133,30.8
"516","Petawawa","CA","Ontario","35","",7.6,"00100","Employment income","Both sexes",10780,12520,8285,9900,43899,53006,20.7
"516","Petawawa","CA","Ontario","35","",7.6,"00100","Employment income","Males",5530,6535,4570,5580,61555,63660,3.4
"516","Petawawa","CA","Ontario","35","",7.6,"00100","Employment income","Females",5250,5985,3715,4325,21959,28160,28.2
"521","Kingston","CMA","Ontario","35","",4.6,"00000","Total income","Both sexes",122865,132575,117690,127910,33024,36174,9.5
"521","Kingston","CMA","Ontario","35","",4.6,"00000","Total income","Males",58305,63235,55815,60940,41073,42073,2.4
"521","Kingston","CMA","Ontario","35","",4.6,"00000","Total income","Females",64560,69340,61870,66975,27015,31687,17.3
"521","Kingston","CMA","Ontario","35","",4.6,"00000","After-tax income","Both sexes",122865,132575,117715,127955,29655,32607,10.0
"521","Kingston","CMA","Ontario","35","",4.6,"00000","After-tax income","Males",58305,63235,55800,60945,35802,37418,4.5
"521","Kingston","CMA","Ontario","35","",4.6,"00000","After-tax income","Females",64560,69340,61915,67015,24964,28784,15.3
"521","Kingston","CMA","Ontario","35","",4.6,"00000","Employment income","Both sexes",122865,132575,86690,93550,31781,32041,0.8
