"Geographic code","Geographic name","Geographic type","Geographic name, Province or territory","Geographic code, Province or territory","Global non-response rate","Data quality flag","Income source","Sex","Total population 15 years and over, 2006","Total population 15 years and over, 2016","Number of income recipients, 2005","Number of income recipients, 2015","Median amount (2015 constant dollars), 2005","Median amount (2015 constant dollars), 2015","Median amount (2015 constant dollars), % change"
"1309","Northumberland","County","New Brunswick","13",3.8,"00000","Employment income","Females",19995,19570,11490,11720,15211,21583,41.9
"1310","York","County","New Brunswick","13",3.6,"00000","Total income","Both sexes",74105,81870,71175,77740,29267,34225,16.9
"1310","York","County","New Brunswick","13",3.6,"00000","Total income","Males",35530,39555,34355,37515,36028,40853,13.4
"1310","York","County","New Brunswick","13",3.6,"00000","Total income","Females",38575,42310,36820,40225,24181,28652,18.5
"1310","York","County","New Brunswick","13",3.6,"00000","After-tax income","Both sexes",74105,81870,71190,77765,26419,30689,16.2
"1310","York","County","New Brunswick","13",3.6,"00000","After-tax income","Males",35530,39555,34345,37520,31271,35859,14.7
"1310","York","County","New Brunswick","13",3.6,"00000","After-tax income","Females",38575,42310,36840,40245,22376,26352,17.8
"1310","York","County","New Brunswick","13",3.6,"00000","Employment income","Both sexes",74105,81870,53420,57530,28633,32144,12.3
"1310","York","County","New Brunswick","13",3.6,"00000","Employment income","Males",35530,39555,27420,29280,33241,37843,13.8
"1310","York","County","New Brunswick","13",3.6,"00000","Employment income","Females",38575,42310,26000,28250,24122,27252,13.0
"1311","Carleton","County","New Brunswick","13",3.4,"00000","Total income","Both sexes",21335,21495,20445,20525,25399,28714,13.1
"1311","Carleton","County","New Brunswick","13",3.4,"00000","Total income","Males",10330,10465,9970,10035,32610,35167,7.8
"1311","Carleton","County","New Brunswick","13",3.4,"00000","Total income","Females",11005,11030,10475,10495,20352,24038,18.1
"1311","Carleton","County","New Brunswick","13",3.4,"00000","After-tax income","Both sexes",21335,21495,20435,20535,23152,26500,14.5
"1311","Carleton","County","New Brunswick","13",3.4,"00000","After-tax income","Males",10330,10465,9965,10040,28915,31448,8.8
"1311","Carleton","County","New Brunswick","13",3.4,"00000","After-tax income","Females",11005,11030,10470,10495,19559,22675,15.9
"1311","Carleton","County","New Brunswick","13",3.4,"00000","Employment income","Both sexes",21335,21495,15145,14900,26062,28345,8.8
"1311","Carleton","County","New Brunswick","13",3.4,"00000","Employment income","Males",10330,10465,7915,7775,33589,34524,2.8
"1311","Carleton","County","New Brunswick","13",3.4,"00000","Employment income","Females",11005,11030,7235,7120,20491,23428,14.3
"1312","Victoria","County","New Brunswick","13",3.9,"00000","Total income","Both sexes",16425,15550,15605,14865,23106,26764,15.8
"1312","Victoria","County","New Brunswick","13",3.9,"00000","Total income","Males",7935,7520,7605,7210,29722,32947,10.9
"1312","Victoria","County","New Brunswick","13",3.9,"00000","Total income","Females",8495,8030,8000,7650,18798,22667,20.6
"1312","Victoria","County","New Brunswick","13",3.9,"00000","After-tax income","Both sexes",16425,15550,15605,14865,21838,24917,14.1
"1312","Victoria","County","New Brunswick","13",3.9,"00000","After-tax income","Males",7935,7520,7605,7215,27020,30029,11.1
"1312","Victoria","County","New Brunswick","13",3.9,"00000","After-tax income","Females",8495,8030,8005,7650,18363,21748,18.4
"1312","Victoria","County","New Brunswick","13",3.9,"00000","Employment income","Both sexes",16425,15550,10565,9990,23190,25292,9.1
"1312","Victoria","County","New Brunswick","13",3.9,"00000","Employment income","Males",7935,7520,5505,5265,28688,30592,6.6
"1312","Victoria","County","New Brunswick","13",3.9,"00000","Employment income","Females",8495,8030,5065,4725,18509,21521,16.3
"1313","Madawaska","County","New Brunswick","13",4.3,"00000","Total income","Both sexes",28485,27150,27225,26370,25375,29376,15.8
"1313","Madawaska","County","New Brunswick","13",4.3,"00000","Total income","Males",13890,13325,13445,13025,33692,36075,7.1
"1313","Madawaska","County","New Brunswick","13",4.3,"00000","Total income","Females",14595,13825,13780,13350,19529,23832,22.0
"1313","Madawaska","County","New Brunswick","13",4.3,"00000","After-tax income","Both sexes",28485,27150,27220,26380,23364,26815,14.8
"1313","Madawaska","County","New Brunswick","13",4.3,"00000","After-tax income","Males",13890,13325,13445,13025,29587,32009,8.2
"1313","Madawaska","County","New Brunswick","13",4.3,"00000","After-tax income","Females",14595,13825,13775,13360,18895,22393,18.5
"1313","Madawaska","County","New Brunswick","13",4.3,"00000","Employment income","Both sexes",28485,27150,19155,18335,26723,28238,5.7
"1313","Madawaska","County","New Brunswick","13",4.3,"00000","Employment income","Males",13890,13325,10115,9700,33829,33871,0.1
"1313","Madawaska","County","New Brunswick","13",4.3,"00000","Employment income","Females",14595,13825,9040,8640,19656,23519,19.7
"1314","Restigouche","County","New Brunswick","13",4.4,"00000","Total income","Both sexes",28005,26230,26480,25340,23017,28018,21.7
"1314","Restigouche","County","New Brunswick","13",4.4,"00000","Total income","Males",13460,12810,12905,12400,30808,34097,10.7
"1314","Restigouche","County","New Brunswick","13",4.4,"00000","Total income","Females",14540,13420,13580,12940,18548,22995,24.0
"1314","Restigouche","County","New Brunswick","13",4.4,"00000","After-tax income","Both sexes",28005,26230,26485,25345,21675,25810,19.1
"1314","Restigouche","County","New Brunswick","13",4.4,"00000","After-tax income","Males",13460,12810,12900,12400,27782,30594,10.1
"1314","Restigouche","County","New Brunswick","13",4.4,"00000","After-tax income","Females",14540,13420,13580,12945,18046,21885,21.3
"1314","Restigouche","County","New Brunswick","13",4.4,"00000","Employment income","Both sexes",28005,26230,16885,16240,21549,25700,19.3
"1314","Restigouche","County","New Brunswick","13",4.4,"00000","Employment income","Males",13460,12810,9020,8485,27811,29739,6.9
"1314","Restigouche","County","New Brunswick","13",4.4,"00000","Employment income","Females",14540,13420,7865,7755,16496,22650,37.3
"1315","Gloucester","County","New Brunswick","13",4.1,"00000","Total income","Both sexes",68485,67545,65150,65255,22002,27373,24.4
"1315","Gloucester","County","New Brunswick","13",4.1,"00000","Total income","Males",33590,33335,32470,32325,28486,33666,18.2
"1315","Gloucester","County","New Brunswick","13",4.1,"00000","Total income","Females",34895,34210,32680,32930,17966,22249,23.8
"1315","Gloucester","County","New Brunswick","13",4.1,"00000","After-tax income","Both sexes",68485,67545,65160,65275,20563,25130,22.2
"1315","Gloucester","County","New Brunswick","13",4.1,"00000","After-tax income","Males",33590,33335,32460,32325,25412,30028,18.2
"1315","Gloucester","County","New Brunswick","13",4.1,"00000","After-tax income","Females",34895,34210,32695,32950,17353,21067,21.4
"1315","Gloucester","County","New Brunswick","13",4.1,"00000","Employment income","Both sexes",68485,67545,43390,43270,19419,23302,20.0
"1315","Gloucester","County","New Brunswick","13",4.1,"00000","Employment income","Males",33590,33335,23090,23120,24126,27121,12.4
"1315","Gloucester","County","New Brunswick","13",4.1,"00000","Employment income","Females",34895,34210,20295,20150,15672,20462,30.6
"2401","Les Îles-de-la-Madeleine","Territoire équivalent","Quebec","24",3.5,"00000","Total income","Both sexes",10905,10790,10470,10675,25614,31630,23.5
"2401","Les Îles-de-la-Madeleine","Territoire équivalent","Quebec","24",3.5,"00000","Total income","Males",5285,5250,5165,5205,30210,34472,14.1
"2401","Les Îles-de-la-Madeleine","Territoire équivalent","Quebec","24",3.5,"00000","Total income","Females",5615,5535,5310,5470,21056,27974,32.9
"2401","Les Îles-de-la-Madeleine","Territoire équivalent","Quebec","24",3.5,"00000","After-tax income","Both sexes",10905,10790,10475,10675,24168,28062,16.1
"2401","Les Îles-de-la-Madeleine","Territoire équivalent","Quebec","24",3.5,"00000","After-tax income","Males",5285,5250,5165,5205,26849,30069,12.0
"2401","Les Îles-de-la-Madeleine","Territoire équivalent","Quebec","24",3.5,"00000","After-tax income","Females",5615,5535,5305,5470,20432,25488,24.7
"2401","Les Îles-de-la-Madeleine","Territoire équivalent","Quebec","24",3.5,"00000","Employment income","Both sexes",10905,10790,7630,7690,17303,21931,26.7
"2401","Les Îles-de-la-Madeleine","Territoire équivalent","Quebec","24",3.5,"00000","Employment income","Males",5285,5250,3965,3920,20241,24256,19.8
"2401","Les Îles-de-la-Madeleine","Territoire équivalent","Quebec","24",3.5,"00000","Employment income","Females",5615,5535,3665,3775,14619,20512,40.3
"2402","Le Rocher-Percé","Municipalité régionale de comté","Quebec","24",3.3,"00000","Total income","Both sexes",15765,15190,15085,14880,21084,25707,21.9
"2402","Le Rocher-Percé","Municipalité régionale de comté","Quebec","24",3.3,"00000","Total income","Males",7730,7500,7505,7365,24185,29780,23.1
"2402","Le Rocher-Percé","Municipalité régionale de comté","Quebec","24",3.3,"00000","Total income","Females",8035,7695,7575,7520,18763,22628,20.6
"2402","Le Rocher-Percé","Municipalité régionale de comté","Quebec","24",3.3,"00000","After-tax income","Both sexes",15765,15190,15085,14890,20281,23946,18.1
"2402","Le Rocher-Percé","Municipalité régionale de comté","Quebec","24",3.3,"00000","After-tax income","Males",7730,7500,7505,7365,22370,26758,19.6
"2402","Le Rocher-Percé","Municipalité régionale de comté","Quebec","24",3.3,"00000","After-tax income","Females",8035,7695,7575,7520,18285,21431,17.2
"2402","Le Rocher-Percé","Municipalité régionale de comté","Quebec","24",3.3,"00000","Employment income","Both sexes",15765,15190,8825,8925,16583,19290,16.3
"2402","Le Rocher-Percé","Municipalité régionale de comté","Quebec","24",3.3,"00000","Employment income","Males",7730,7500,4635,4650,17520,20384,16.3
"2402","Le Rocher-Percé","Municipalité régionale de comté","Quebec","24",3.3,"00000","Employment income","Females",8035,7695,4185,4270,15106,18256,20.9
"2403","La Côte-de-Gaspé","Municipalité régionale de comté","Quebec","24",3.2,"00000","Total income","Both sexes",14945,14455,14315,14165,25422,32157,26.5
"2403","La Côte-de-Gaspé","Municipalité régionale de comté","Quebec","24",3.2,"00000","Total income","Males",7250,7065,7045,6935,30591,35831,17.1
"2403","La Côte-de-Gaspé","Municipalité régionale de comté","Quebec","24",3.2,"00000","Total income","Females",7695,7395,7270,7230,21478,27472,27.9
"2403","La Côte-de-Gaspé","Municipalité régionale de comté","Quebec","24",3.2,"00000","After-tax income","Both sexes",14945,14455,14315,14165,23945,28627,19.6
"2403","La Côte-de-Gaspé","Municipalité régionale de comté","Quebec","24",3.2,"00000","After-tax income","Males",7250,7065,7045,6930,27360,31251,14.2
"2403","La Côte-de-Gaspé","Municipalité régionale de comté","Quebec","24",3.2,"00000","After-tax income","Females",7695,7395,7270,7235,20700,25296,22.2
"2403","La Côte-de-Gaspé","Municipalité régionale de comté","Quebec","24",3.2,"00000","Employment income","Both sexes",14945,14455,9690,9600,22584,27613,22.3
"2403","La Côte-de-Gaspé","Municipalité régionale de comté","Quebec","24",3.2,"00000","Employment income","Males",7250,7065,5115,4925,24720,29728,20.3
"2403","La Côte-de-Gaspé","Municipalité régionale de comté","Quebec","24",3.2,"00000","Employment income","Females",7695,7395,4580,4675,20319,25608,26.0
"2404","La Haute-Gaspésie","Municipalité régionale de comté","Quebec","24",3.8,"00000","Total income","Both sexes",10340,9630,9760,9410,20427,23898,17.0
"2404","La Haute-Gaspésie","Municipalité régionale de comté","Quebec","24",3.8,"00000","Total income","Males",5080,4740,4860,4645,24876,27699,11.3
"2404","La Haute-Gaspésie","Municipalité régionale de comté","Quebec","24",3.8,"00000","Total income","Females",5260,4890,4900,4760,17465,21233,21.6
"2404","La Haute-Gaspésie","Municipalité régionale de comté","Quebec","24",3.8,"00000","After-tax income","Both sexes",10340,9630,9760,9415,19893,22683,14.0
"2404","La Haute-Gaspésie","Municipalité régionale de comté","Quebec","24",3.8,"00000","After-tax income","Males",5080,4740,4860,4650,23048,25593,11.0
"2404","La Haute-Gaspésie","Municipalité régionale de comté","Quebec","24",3.8,"00000","After-tax income","Females",5260,4890,4905,4760,17261,20498,18.8
"2404","La Haute-Gaspésie","Municipalité régionale de comté","Quebec","24",3.8,"00000","Employment income","Both sexes",10340,9630,5710,5360,19331,22089,14.3
"2404","La Haute-Gaspésie","Municipalité régionale de comté","Quebec","24",3.8,"00000","Employment income","Males",5080,4740,3135,2765,22080,23296,5.5
"2404","La Haute-Gaspésie","Municipalité régionale de comté","Quebec","24",3.8,"00000","Employment income","Females",5260,4890,2575,2590,16291,20910,28.4
"2405","Bonaventure","Municipalité régionale de comté","Quebec","24",4.5,"00000","Total income","Both sexes",15100,14990,14230,14635,23746,28619,20.5
"2405","Bonaventure","Municipalité régionale de comté","Quebec","24",4.5,"00000","Total income","Males",7365,7315,7060,7155,29258,34019,16.3
"2405","Bonaventure","Municipalité régionale de comté","Quebec","24",4.5,"00000","Total income","Females",7735,7665,7170,7480,19499,23454,20.3
"2405","Bonaventure","Municipalité régionale de comté","Quebec","24",4.5,"00000","After-tax income","Both sexes",15100,14990,14240,14640,22661,26165,15.5
"2405","Bonaventure","Municipalité régionale de comté","Quebec","24",4.5,"00000","After-tax income","Males",7365,7315,7060,7155,26596,30323,14.0
"2405","Bonaventure","Municipalité régionale de comté","Quebec","24",4.5,"00000","After-tax income","Females",7735,7665,7175,7485,19101,22016,15.3
"2405","Bonaventure","Municipalité régionale de comté","Quebec","24",4.5,"00000","Employment income","Both sexes",15100,14990,8990,9395,21255,24219,13.9
"2405","Bonaventure","Municipalité régionale de comté","Quebec","24",4.5,"00000","Employment income","Males",7365,7315,4705,4855,24838,27373,10.2
"2405","Bonaventure","Municipalité régionale de comté","Quebec","24",4.5,"00000","Employment income","Females",7735,7665,4290,4540,18243,21611,18.5
"2406","Avignon","Municipalité régionale de comté","Quebec","24",6.7,"00000","Total income","Both sexes",11955,11870,11380,11545,24046,28394,18.1
"2406","Avignon","Municipalité régionale de comté","Quebec","24",6.7,"00000","Total income","Males",5860,5735,5620,5580,29066,33175,14.1
"2406","Avignon","Municipalité régionale de comté","Quebec","24",6.7,"00000","Total income","Females",6095,6130,5765,5960,19997,24717,23.6
"2406","Avignon","Municipalité régionale de comté","Quebec","24",6.7,"00000","After-tax income","Both sexes",11955,11870,11385,11545,22964,26180,14.0
"2406","Avignon","Municipalité régionale de comté","Quebec","24",6.7,"00000","After-tax income","Males",5860,5735,5620,5580,26693,29568,10.8
"2406","Avignon","Municipalité régionale de comté","Quebec","24",6.7,"00000","After-tax income","Females",6095,6130,5770,5965,19097,23175,21.4
"2406","Avignon","Municipalité régionale de comté","Quebec","24",6.7,"00000","Employment income","Both sexes",11955,11870,7550,7535,21136,23672,12.0
"2406","Avignon","Municipalité régionale de comté","Quebec","24",6.7,"00000","Employment income","Males",5860,5735,3960,3800,23067,26739,15.9
"2406","Avignon","Municipalité régionale de comté","Quebec","24",6.7,"00000","Employment income","Females",6095,6130,3590,3735,19420,21141,8.9
"2407","La Matapédia","Municipalité régionale de comté","Quebec","24",3.9,"00000","Total income","Both sexes",15625,14775,14655,14350,21421,26995,26.0
"2407","La Matapédia","Municipalité régionale de comté","Quebec","24",3.9,"00000","Total income","Males",7885,7465,7595,7285,27835,32690,17.4
"2407","La Matapédia","Municipalité régionale de comté","Quebec","24",3.9,"00000","Total income","Females",7735,7315,7060,7065,17605,22094,25.5
"2407","La Matapédia","Municipalité régionale de comté","Quebec","24",3.9,"00000","After-tax income","Both sexes",15625,14775,14655,14355,20585,24798,20.5
"2407","La Matapédia","Municipalité régionale de comté","Quebec","24",3.9,"00000","After-tax income","Males",7885,7465,7595,7290,25791,29137,13.0
"2407","La Matapédia","Municipalité régionale de comté","Quebec","24",3.9,"00000","After-tax income","Females",7735,7315,7060,7065,17436,21145,21.3
"2407","La Matapédia","Municipalité régionale de comté","Quebec","24",3.9,"00000","Employment income","Both sexes",15625,14775,9590,9540,21353,24108,12.9
"2407","La Matapédia","Municipalité régionale de comté","Quebec","24",3.9,"00000","Employment income","Males",7885,7465,5315,5140,27739,28690,3.4
"2407","La Matapédia","Municipalité régionale de comté","Quebec","24",3.9,"00000","Employment income","Females",7735,7315,4285,4395,16032,20443,27.5
"2408","Matane","Municipalité régionale de comté","Quebec","24",4.6,"00000","Total income","Both sexes",18760,17860,17830,17455,22961,28847,25.6
"2408","Matane","Municipalité régionale de comté","Quebec","24",4.6,"00000","Total income","Males",9225,8960,8905,8785,29646,34258,15.6
"2408","Matane","Municipalité régionale de comté","Quebec","24",4.6,"00000","Total income","Females",9540,8900,8930,8670,19176,23847,24.4
"2408","Matane","Municipalité régionale de comté","Quebec","24",4.6,"00000","After-tax income","Both sexes",18760,17860,17840,17465,21965,26200,19.3
"2408","Matane","Municipalité régionale de comté","Quebec","24",4.6,"00000","After-tax income","Males",9225,8960,8910,8785,26810,30210,12.7
"2408","Matane","Municipalité régionale de comté","Quebec","24",4.6,"00000","After-tax income","Females",9540,8900,8930,8675,18678,22333,19.6
"2408","Matane","Municipalité régionale de comté","Quebec","24",4.6,"00000","Employment income","Both sexes",18760,17860,11340,11185,23472,27218,16.0
"2408","Matane","Municipalité régionale de comté","Quebec","24",4.6,"00000","Employment income","Males",9225,8960,6125,5975,28018,30763,9.8
"2408","Matane","Municipalité régionale de comté","Quebec","24",4.6,"00000","Employment income","Females",9540,8900,5215,5210,20012,24105,20.5
"2409","La Mitis","Municipalité régionale de comté","Quebec","24",3.9,"00000","Total income","Both sexes",15615,14680,14715,14285,23520,28243,20.1
"2409","La Mitis","Municipalité régionale de comté","Quebec","24",3.9,"00000","Total income","Males",7730,7380,7420,7210,29848,32180,7.8
"2409","La Mitis","Municipalité régionale de comté","Quebec","24",3.9,"00000","Total income","Females",7880,7295,7300,7075,18701,24454,30.8
"2409","La Mitis","Municipalité régionale de comté","Quebec","24",3.9,"00000","After-tax income","Both sexes",15615,14680,14720,14290,22483,25986,15.6
"2409","La Mitis","Municipalité régionale de comté","Quebec","24",3.9,"00000","After-tax income","Males",7730,7380,7420,7215,26980,28880,7.0
"2409","La Mitis","Municipalité régionale de comté","Quebec","24",3.9,"00000","After-tax income","Females",7880,7295,7300,7075,18446,23000,24.7
"2409","La Mitis","Municipalité régionale de comté","Quebec","24",3.9,"00000","Employment income","Both sexes",15615,14680,9710,9405,24774,25973,4.8
"2409","La Mitis","Municipalité régionale de comté","Quebec","24",3.9,"00000","Employment income","Males",7730,7380,5390,5065,29743,29706,-0.1
"2409","La Mitis","Municipalité régionale de comté","Quebec","24",3.9,"00000","Employment income","Females",7880,7295,4315,4340,18325,22585,23.2
"2410","Rimouski-Neigette","Municipalité régionale de comté","Quebec","24",4.0,"00000","Total income","Both sexes",43705,46510,41640,45415,27859,33799,21.3
"2410","Rimouski-Neigette","Municipalité régionale de comté","Quebec","24",4.0,"00000","Total income","Males",21055,22630,20245,22110,32756,38166,16.5
"2410","Rimouski-Neigette","Municipalité régionale de comté","Quebec","24",4.0,"00000","Total income","Females",22655,23880,21400,23305,24229,29783,22.9
"2410","Rimouski-Neigette","Municipalité régionale de comté","Quebec","24",4.0,"00000","After-tax income","Both sexes",43705,46510,41625,45430,25868,29912,15.6
"2410","Rimouski-Neigette","Municipalité régionale de comté","Quebec","24",4.0,"00000","After-tax income","Males",21055,22630,20235,22110,29169,33155,13.7
"2410","Rimouski-Neigette","Municipalité régionale de comté","Quebec","24",4.0,"00000","After-tax income","Females",22655,23880,21390,23320,22990,26894,17.0
"2410","Rimouski-Neigette","Municipalité régionale de comté","Quebec","24",4.0,"00000","Employment income","Both sexes",43705,46510,30075,31900,27538,29947,8.7
"2410","Rimouski-Neigette","Municipalité régionale de comté","Quebec","24",4.0,"00000","Employment income","Males",21055,22630,15500,16395,31240,33249,6.4
"2410","Rimouski-Neigette","Municipalité régionale de comté","Quebec","24",4.0,"00000","Employment income","Females",22655,23880,14580,15505,24127,26831,11.2
"2411","Les Basques","Municipalité régionale de comté","Quebec","24",4.7,"00000","Total income","Both sexes",7815,7200,7500,7090,21449,26336,22.8
"2411","Les Basques","Municipalité régionale de comté","Quebec","24",4.7,"00000","Total income","Males",3890,3635,3780,3580,27203,30183,11.0
"2411","Les Basques","Municipalité régionale de comté","Quebec","24",4.7,"00000","Total income","Females",3920,3570,3715,3505,17545,22328,27.3
"2411","Les Basques","Municipalité régionale de comté","Quebec","24",4.7,"00000","After-tax income","Both sexes",7815,7200,7495,7095,20795,24290,16.8
"2411","Les Basques","Municipalité régionale de comté","Quebec","24",4.7,"00000","After-tax income","Males",3890,3635,3785,3585,25003,27452,9.8
"2411","Les Basques","Municipalité régionale de comté","Quebec","24",4.7,"00000","After-tax income","Females",3920,3570,3715,3510,17256,21248,23.1
"2411","Les Basques","Municipalité régionale de comté","Quebec","24",4.7,"00000","Employment income","Both sexes",7815,7200,4700,4520,19311,23099,19.6
"2411","Les Basques","Municipalité régionale de comté","Quebec","24",4.7,"00000","Employment income","Males",3890,3635,2580,2495,23201,25264,8.9
"2411","Les Basques","Municipalité régionale de comté","Quebec","24",4.7,"00000","Employment income","Females",3920,3570,2120,2030,15008,20615,37.4
"2412","Rivière-du-Loup","Municipalité régionale de comté","Quebec","24",3.9,"00000","Total income","Both sexes",27095,27320,25995,26780,27167,32781,20.7
"2412","Rivière-du-Loup","Municipalité régionale de comté","Quebec","24",3.9,"00000","Total income","Males",13235,13475,12770,13235,33393,38607,15.6
"2412","Rivière-du-Loup","Municipalité régionale de comté","Quebec","24",3.9,"00000","Total income","Females",13860,13845,13225,13550,22228,27536,23.9
"2412","Rivière-du-Loup","Municipalité régionale de comté","Quebec","24",3.9,"00000","After-tax income","Both sexes",27095,27320,26000,26790,25064,29249,16.7
"2412","Rivière-du-Loup","Municipalité régionale de comté","Quebec","24",3.9,"00000","After-tax income","Males",13235,13475,12785,13235,29589,33610,13.6
"2412","Rivière-du-Loup","Municipalité régionale de comté","Quebec","24",3.9,"00000","After-tax income","Females",13860,13845,13225,13555,21111,25225,19.5
"2412","Rivière-du-Loup","Municipalité régionale de comté","Quebec","24",3.9,"00000","Employment income","Both sexes",27095,27320,18915,19225,26014,29817,14.6
"2412","Rivière-du-Loup","Municipalité régionale de comté","Quebec","24",3.9,"00000","Employment income","Males",13235,13475,9975,10215,32185,34883,8.4
"2412","Rivière-du-Loup","Municipalité régionale de comté","Quebec","24",3.9,"00000","Employment income","Females",13860,13845,8940,9010,20613,25201,22.3
"2413","Témiscouata","Municipalité régionale de comté","Quebec","24",4.0,"00000","Total income","Both sexes",17855,16205,16790,15840,23224,27584,18.8
"2413","Témiscouata","Municipalité régionale de comté","Quebec","24",4.0,"00000","Total income","Males",9005,8185,8635,8035,28690,32793,14.3
"2413","Témiscouata","Municipalité régionale de comté","Quebec","24",4.0,"00000","Total income","Females",8850,8020,8160,7805,18232,23061,26.5
"2413","Témiscouata","Municipalité régionale de comté","Quebec","24",4.0,"00000","After-tax income","Both sexes",17855,16205,16795,15840,22376,25593,14.4
"2413","Témiscouata","Municipalité régionale de comté","Quebec","24",4.0,"00000","After-tax income","Males",9005,8185,8635,8035,26585,29417,10.7
"2413","Témiscouata","Municipalité régionale de comté","Quebec","24",4.0,"00000","After-tax income","Females",8850,8020,8165,7810,17951,21898,22.0
"2413","Témiscouata","Municipalité régionale de comté","Quebec","24",4.0,"00000","Employment income","Both sexes",17855,16205,10885,10510,22876,24908,8.9
"2413","Témiscouata","Municipalité régionale de comté","Quebec","24",4.0,"00000","Employment income","Males",9005,8185,6205,5685,27118,29158,7.5
"2413","Témiscouata","Municipalité régionale de comté","Quebec","24",4.0,"00000","Employment income","Females",8850,8020,4680,4825,17384,20987,20.7
"2414","Kamouraska","Municipalité régionale de comté","Quebec","24",4.3,"00000","Total income","Both sexes",17895,17015,16855,16675,26491,30018,13.3
"2414","Kamouraska","Municipalité régionale de comté","Quebec","24",4.3,"00000","Total income","Males",8905,8490,8590,8330,32886,34760,5.7
"2414","Kamouraska","Municipalité régionale de comté","Quebec","24",4.3,"00000","Total income","Females",8995,8525,8265,8340,21112,24997,18.4
"2414","Kamouraska","Municipalité régionale de comté","Quebec","24",4.3,"00000","After-tax income","Both sexes",17895,17015,16860,16680,25062,27193,8.5
"2414","Kamouraska","Municipalité régionale de comté","Quebec","24",4.3,"00000","After-tax income","Males",8905,8490,8590,8335,29223,30914,5.8
"2414","Kamouraska","Municipalité régionale de comté","Quebec","24",4.3,"00000","After-tax income","Females",8995,8525,8275,8345,20521,23410,14.1
"2414","Kamouraska","Municipalité régionale de comté","Quebec","24",4.3,"00000","Employment income","Both sexes",17895,17015,11545,11585,27294,27014,-1.0
"2414","Kamouraska","Municipalité régionale de comté","Quebec","24",4.3,"00000","Employment income","Males",8905,8490,6365,6290,33171,31174,-6.0
"2414","Kamouraska","Municipalité régionale de comté","Quebec","24",4.3,"00000","Employment income","Females",8995,8525,5180,5295,21509,22949,6.7
"2415","Charlevoix-Est","Municipalité régionale de comté","Quebec","24",3.6,"00000","Total income","Both sexes",13755,13055,13095,12825,25777,30110,16.8
"2415","Charlevoix-Est","Municipalité régionale de comté","Quebec","24",3.6,"00000","Total income","Males",6810,6430,6630,6340,33632,37279,10.8
"2415","Charlevoix-Est","Municipalité régionale de comté","Quebec","24",3.6,"00000","Total income","Females",6945,6620,6460,6485,20152,23446,16.3
"2415","Charlevoix-Est","Municipalité régionale de comté","Quebec","24",3.6,"00000","After-tax income","Both sexes",13755,13055,13090,12830,24028,27284,13.6
"2415","Charlevoix-Est","Municipalité régionale de comté","Quebec","24",3.6,"00000","After-tax income","Males",6810,6430,6630,6340,29805,32690,9.7
"2415","Charlevoix-Est","Municipalité régionale de comté","Quebec","24",3.6,"00000","After-tax income","Females",6945,6620,6460,6495,19691,21988,11.7
"2415","Charlevoix-Est","Municipalité régionale de comté","Quebec","24",3.6,"00000","Employment income","Both sexes",13755,13055,9040,8635,25163,25342,0.7
"2415","Charlevoix-Est","Municipalité régionale de comté","Quebec","24",3.6,"00000","Employment income","Males",6810,6430,5005,4585,32859,31140,-5.2
"2415","Charlevoix-Est","Municipalité régionale de comté","Quebec","24",3.6,"00000","Employment income","Females",6945,6620,4040,4050,18976,21143,11.4
"2416","Charlevoix","Municipalité régionale de comté","Quebec","24",3.9,"00000","Total income","Both sexes",11000,10815,10680,10670,24011,30468,26.9
"2416","Charlevoix","Municipalité régionale de comté","Quebec","24",3.9,"00000","Total income","Males",5435,5360,5340,5320,30570,35517,16.2
"2416","Charlevoix","Municipalité régionale de comté","Quebec","24",3.9,"00000","Total income","Females",5565,5445,5335,5350,19511,25536,30.9
"2416","Charlevoix","Municipalité régionale de comté","Quebec","24",3.9,"00000","After-tax income","Both sexes",11000,10815,10680,10675,22923,27556,20.2
"2416","Charlevoix","Municipalité régionale de comté","Quebec","24",3.9,"00000","After-tax income","Males",5435,5360,5345,5320,27361,31533,15.2
"2416","Charlevoix","Municipalité régionale de comté","Quebec","24",3.9,"00000","After-tax income","Females",5565,5445,5340,5355,19092,23532,23.3
"2416","Charlevoix","Municipalité régionale de comté","Quebec","24",3.9,"00000","Employment income","Both sexes",11000,10815,7175,7140,22358,26857,20.1
"2416","Charlevoix","Municipalité régionale de comté","Quebec","24",3.9,"00000","Employment income","Males",5435,5360,3870,3745,27259,31589,15.9
"2416","Charlevoix","Municipalité régionale de comté","Quebec","24",3.9,"00000","Employment income","Females",5565,5445,3305,3395,18326,23374,27.5
"2417","L'Islet","Municipalité régionale de comté","Quebec","24",3.3,"00000","Total income","Both sexes",15685,14755,14890,14520,24552,29155,18.7
"2417","L'Islet","Municipalité régionale de comté","Quebec","24",3.3,"00000","Total income","Males",7865,7470,7685,7375,31944,35485,11.1
"2417","L'Islet","Municipalité régionale de comté","Quebec","24",3.3,"00000","Total income","Females",7815,7285,7205,7140,18362,23206,26.4
"2417","L'Islet","Municipalité régionale de comté","Quebec","24",3.3,"00000","After-tax income","Both sexes",15685,14755,14885,14525,23214,26612,14.6
"2417","L'Islet","Municipalité régionale de comté","Quebec","24",3.3,"00000","After-tax income","Males",7865,7470,7685,7380,28990,31502,8.7
"2417","L'Islet","Municipalité régionale de comté","Quebec","24",3.3,"00000","After-tax income","Females",7815,7285,7210,7140,18051,22021,22.0
