"Geographic code","Geographic name","Geographic type","Geographic name, Province or territory","Geographic code, Province or territory","Additional province code","Global non-response rate","Data quality flag","Low-income concepts","Age groups","Population in private households for income status, 2006","Population in private households for income status, 2016","Number of persons in low income, 2005","Number of persons in low income, 2015","Prevalence of low income (%), 2005","Prevalence of low income (%), 2015","Prevalence of low income (%), Difference"
"442","Trois-Rivières","CMA","Quebec","24","",4.3,"00000","Low-income cut-offs, after-tax (LICO-AT)","0 to 5 years",7125,8880,1030,700,14.5,7.9,-6.6
"442","Trois-Rivières","CMA","Quebec","24","",4.3,"00000","Low-income cut-offs, after-tax (LICO-AT)","18 to 64 years",92555,93730,12755,10060,13.8,10.7,-3.1
"442","Trois-Rivières","CMA","Quebec","24","",4.3,"00000","Low-income cut-offs, after-tax (LICO-AT)","65 years and over",21390,29715,1815,725,8.5,2.4,-6.1
"444","Shawinigan","CA","Quebec","24","",3.9,"00000","Low-income measure, after-tax (LIM-AT)","Total - Age groups",54075,52175,11385,10725,21.1,20.6,-0.5
"444","Shawinigan","CA","Quebec","24","",3.9,"00000","Low-income measure, after-tax (LIM-AT)","0 to 17 years",9275,8235,2130,1580,23.0,19.2,-3.8
"444","Shawinigan","CA","Quebec","24","",3.9,"00000","Low-income measure, after-tax (LIM-AT)","0 to 5 years",2495,2885,645,550,25.9,19.1,-6.8
"444","Shawinigan","CA","Quebec","24","",3.9,"00000","Low-income measure, after-tax (LIM-AT)","18 to 64 years",34585,31345,7155,5955,20.7,19.0,-1.7
"444","Shawinigan","CA","Quebec","24","",3.9,"00000","Low-income measure, after-tax (LIM-AT)","65 years and over",10215,12595,2105,3185,20.6,25.3,4.7
"444","Shawinigan","CA","Quebec","24","",3.9,"00000","Low-income cut-offs, after-tax (LICO-AT)","Total - Age groups",54065,52180,7600,4810,14.1,9.2,-4.9
"444","Shawinigan","CA","Quebec","24","",3.9,"00000","Low-income cut-offs, after-tax (LICO-AT)","0 to 17 years",9265,8235,1340,670,14.5,8.1,-6.4
"444","Shawinigan","CA","Quebec","24","",3.9,"00000","Low-income cut-offs, after-tax (LICO-AT)","0 to 5 years",2495,2885,410,255,16.4,8.8,-7.6
"444","Shawinigan","CA","Quebec","24","",3.9,"00000","Low-income cut-offs, after-tax (LICO-AT)","18 to 64 years",34585,31345,5465,3800,15.8,12.1,-3.7
"444","Shawinigan","CA","Quebec","24","",3.9,"00000","Low-income cut-offs, after-tax (LICO-AT)","65 years and over",10215,12595,795,330,7.8,2.6,-5.2
"447","Drummondville","CA","Quebec","24","",4.5,"00000","Low-income measure, after-tax (LIM-AT)","Total - Age groups",83255,92870,13425,14970,16.1,16.1,0.0
"447","Drummondville","CA","Quebec","24","",4.5,"00000","Low-income measure, after-tax (LIM-AT)","0 to 17 years",18265,19400,2995,2870,16.4,14.8,-1.6
"447","Drummondville","CA","Quebec","24","",4.5,"00000","Low-income measure, after-tax (LIM-AT)","0 to 5 years",5430,6335,1035,915,19.1,14.4,-4.7
"447","Drummondville","CA","Quebec","24","",4.5,"00000","Low-income measure, after-tax (LIM-AT)","18 to 64 years",54595,57650,8440,8520,15.5,14.8,-0.7
"447","Drummondville","CA","Quebec","24","",4.5,"00000","Low-income measure, after-tax (LIM-AT)","65 years and over",10395,15815,1985,3580,19.1,22.6,3.5
"447","Drummondville","CA","Quebec","24","",4.5,"00000","Low-income cut-offs, after-tax (LICO-AT)","Total - Age groups",83230,92875,8360,6850,10.0,7.4,-2.6
"447","Drummondville","CA","Quebec","24","",4.5,"00000","Low-income cut-offs, after-tax (LICO-AT)","0 to 17 years",18240,19400,1680,1225,9.2,6.3,-2.9
"447","Drummondville","CA","Quebec","24","",4.5,"00000","Low-income cut-offs, after-tax (LICO-AT)","0 to 5 years",5420,6335,580,415,10.7,6.6,-4.1
"447","Drummondville","CA","Quebec","24","",4.5,"00000","Low-income cut-offs, after-tax (LICO-AT)","18 to 64 years",54595,57650,5935,5245,10.9,9.1,-1.8
"447","Drummondville","CA","Quebec","24","",4.5,"00000","Low-income cut-offs, after-tax (LICO-AT)","65 years and over",10400,15820,740,385,7.1,2.4,-4.7
"450","Granby","CA","Quebec","24","",4.0,"00000","Low-income measure, after-tax (LIM-AT)","Total - Age groups",72905,82745,9930,11645,13.6,14.1,0.5
"450","Granby","CA","Quebec","24","",4.0,"00000","Low-income measure, after-tax (LIM-AT)","0 to 17 years",15710,16575,2065,2315,13.1,14.0,0.9
"450","Granby","CA","Quebec","24","",4.0,"00000","Low-income measure, after-tax (LIM-AT)","0 to 5 years",4635,5445,775,790,16.7,14.5,-2.2
"450","Granby","CA","Quebec","24","",4.0,"00000","Low-income measure, after-tax (LIM-AT)","18 to 64 years",48010,50615,6330,6330,13.2,12.5,-0.7
"450","Granby","CA","Quebec","24","",4.0,"00000","Low-income measure, after-tax (LIM-AT)","65 years and over",9185,15560,1540,3000,16.8,19.3,2.5
"450","Granby","CA","Quebec","24","",4.0,"00000","Low-income cut-offs, after-tax (LICO-AT)","Total - Age groups",72880,82745,6205,5110,8.5,6.2,-2.3
"450","Granby","CA","Quebec","24","",4.0,"00000","Low-income cut-offs, after-tax (LICO-AT)","0 to 17 years",15690,16570,1255,970,8.0,5.9,-2.1
"450","Granby","CA","Quebec","24","",4.0,"00000","Low-income cut-offs, after-tax (LICO-AT)","0 to 5 years",4615,5445,500,340,10.8,6.2,-4.6
"450","Granby","CA","Quebec","24","",4.0,"00000","Low-income cut-offs, after-tax (LICO-AT)","18 to 64 years",48010,50615,4375,3790,9.1,7.5,-1.6
"450","Granby","CA","Quebec","24","",4.0,"00000","Low-income cut-offs, after-tax (LICO-AT)","65 years and over",9185,15555,570,345,6.2,2.2,-4.0
"452","Saint-Hyacinthe","CA","Quebec","24","",5.2,"00000","Low-income measure, after-tax (LIM-AT)","Total - Age groups",52505,56440,7400,9225,14.1,16.3,2.2
"452","Saint-Hyacinthe","CA","Quebec","24","",5.2,"00000","Low-income measure, after-tax (LIM-AT)","0 to 17 years",9965,10405,1390,1770,13.9,17.0,3.1
"452","Saint-Hyacinthe","CA","Quebec","24","",5.2,"00000","Low-income measure, after-tax (LIM-AT)","0 to 5 years",2960,3550,505,595,17.1,16.8,-0.3
"452","Saint-Hyacinthe","CA","Quebec","24","",5.2,"00000","Low-income measure, after-tax (LIM-AT)","18 to 64 years",34625,35045,4840,5275,14.0,15.1,1.1
"452","Saint-Hyacinthe","CA","Quebec","24","",5.2,"00000","Low-income measure, after-tax (LIM-AT)","65 years and over",7910,10995,1170,2175,14.8,19.8,5.0
"452","Saint-Hyacinthe","CA","Quebec","24","",5.2,"00000","Low-income cut-offs, after-tax (LICO-AT)","Total - Age groups",52505,56440,5230,4630,10.0,8.2,-1.8
"452","Saint-Hyacinthe","CA","Quebec","24","",5.2,"00000","Low-income cut-offs, after-tax (LICO-AT)","0 to 17 years",9970,10400,780,855,7.8,8.2,0.4
"452","Saint-Hyacinthe","CA","Quebec","24","",5.2,"00000","Low-income cut-offs, after-tax (LICO-AT)","0 to 5 years",2965,3550,335,290,11.3,8.2,-3.1
"452","Saint-Hyacinthe","CA","Quebec","24","",5.2,"00000","Low-income cut-offs, after-tax (LICO-AT)","18 to 64 years",34630,35040,3930,3505,11.3,10.0,-1.3
"452","Saint-Hyacinthe","CA","Quebec","24","",5.2,"00000","Low-income cut-offs, after-tax (LICO-AT)","65 years and over",7910,10995,525,265,6.6,2.4,-4.2
"454","Sorel-Tracy","CA","Quebec","24","",4.1,"00000","Low-income measure, after-tax (LIM-AT)","Total - Age groups",39785,40135,6605,6810,16.6,17.0,0.4
"454","Sorel-Tracy","CA","Quebec","24","",4.1,"00000","Low-income measure, after-tax (LIM-AT)","0 to 17 years",6575,6175,1260,1050,19.2,17.0,-2.2
"454","Sorel-Tracy","CA","Quebec","24","",4.1,"00000","Low-income measure, after-tax (LIM-AT)","0 to 5 years",1830,2040,345,345,18.9,16.9,-2.0
"454","Sorel-Tracy","CA","Quebec","24","",4.1,"00000","Low-income measure, after-tax (LIM-AT)","18 to 64 years",26415,24140,4170,3870,15.8,16.0,0.2
"454","Sorel-Tracy","CA","Quebec","24","",4.1,"00000","Low-income measure, after-tax (LIM-AT)","65 years and over",6795,9820,1175,1890,17.3,19.2,1.9
"454","Sorel-Tracy","CA","Quebec","24","",4.1,"00000","Low-income cut-offs, after-tax (LICO-AT)","Total - Age groups",39780,40140,4610,3230,11.6,8.0,-3.6
"454","Sorel-Tracy","CA","Quebec","24","",4.1,"00000","Low-income cut-offs, after-tax (LICO-AT)","0 to 17 years",6575,6175,910,520,13.8,8.4,-5.4
"454","Sorel-Tracy","CA","Quebec","24","",4.1,"00000","Low-income cut-offs, after-tax (LICO-AT)","0 to 5 years",1830,2040,265,165,14.5,8.1,-6.4
"454","Sorel-Tracy","CA","Quebec","24","",4.1,"00000","Low-income cut-offs, after-tax (LICO-AT)","18 to 64 years",26410,24140,3250,2480,12.3,10.3,-2.0
"454","Sorel-Tracy","CA","Quebec","24","",4.1,"00000","Low-income cut-offs, after-tax (LICO-AT)","65 years and over",6795,9825,445,230,6.5,2.3,-4.2
"456","Joliette","CA","Quebec","24","",5.3,"00000","Low-income measure, after-tax (LIM-AT)","Total - Age groups",41585,46995,7405,8605,17.8,18.3,0.5
"456","Joliette","CA","Quebec","24","",5.3,"00000","Low-income measure, after-tax (LIM-AT)","0 to 17 years",8050,8440,1505,1655,18.7,19.6,0.9
"456","Joliette","CA","Quebec","24","",5.3,"00000","Low-income measure, after-tax (LIM-AT)","0 to 5 years",2090,2855,565,590,27.0,20.7,-6.3
"456","Joliette","CA","Quebec","24","",5.3,"00000","Low-income measure, after-tax (LIM-AT)","18 to 64 years",26925,28535,4680,4960,17.4,17.4,0.0
"456","Joliette","CA","Quebec","24","",5.3,"00000","Low-income measure, after-tax (LIM-AT)","65 years and over",6610,10020,1220,1985,18.5,19.8,1.3
"456","Joliette","CA","Quebec","24","",5.3,"00000","Low-income cut-offs, after-tax (LICO-AT)","Total - Age groups",41590,47000,5280,4510,12.7,9.6,-3.1
"456","Joliette","CA","Quebec","24","",5.3,"00000","Low-income cut-offs, after-tax (LICO-AT)","0 to 17 years",8050,8440,1005,885,12.5,10.5,-2.0
"456","Joliette","CA","Quebec","24","",5.3,"00000","Low-income cut-offs, after-tax (LICO-AT)","0 to 5 years",2090,2855,415,325,19.9,11.4,-8.5
"456","Joliette","CA","Quebec","24","",5.3,"00000","Low-income cut-offs, after-tax (LICO-AT)","18 to 64 years",26925,28535,3785,3395,14.1,11.9,-2.2
"456","Joliette","CA","Quebec","24","",5.3,"00000","Low-income cut-offs, after-tax (LICO-AT)","65 years and over",6615,10020,490,230,7.4,2.3,-5.1
"462","Montréal","CMA","Quebec","24","",3.3,"20000","Low-income measure, after-tax (LIM-AT)","Total - Age groups",3674750,4009795,587615,614140,16.0,15.3,-0.7
"462","Montréal","CMA","Quebec","24","",3.3,"20000","Low-income measure, after-tax (LIM-AT)","0 to 17 years",782505,819410,139160,128620,17.8,15.7,-2.1
"462","Montréal","CMA","Quebec","24","",3.3,"20000","Low-income measure, after-tax (LIM-AT)","0 to 5 years",234670,279080,47880,44445,20.4,15.9,-4.5
"462","Montréal","CMA","Quebec","24","",3.3,"20000","Low-income measure, after-tax (LIM-AT)","18 to 64 years",2423940,2588755,379935,381885,15.7,14.8,-0.9
"462","Montréal","CMA","Quebec","24","",3.3,"20000","Low-income measure, after-tax (LIM-AT)","65 years and over",468300,601635,68515,103630,14.6,17.2,2.6
"462","Montréal","CMA","Quebec","24","",3.3,"20000","Low-income cut-offs, after-tax (LICO-AT)","Total - Age groups",3674320,4009790,583205,479645,15.9,12.0,-3.9
"462","Montréal","CMA","Quebec","24","",3.3,"20000","Low-income cut-offs, after-tax (LICO-AT)","0 to 17 years",782080,819405,129945,90445,16.6,11.0,-5.6
"462","Montréal","CMA","Quebec","24","",3.3,"20000","Low-income cut-offs, after-tax (LICO-AT)","0 to 5 years",234555,279080,44515,31450,19.0,11.3,-7.7
"462","Montréal","CMA","Quebec","24","",3.3,"20000","Low-income cut-offs, after-tax (LICO-AT)","18 to 64 years",2423940,2588755,387110,326690,16.0,12.6,-3.4
"462","Montréal","CMA","Quebec","24","",3.3,"20000","Low-income cut-offs, after-tax (LICO-AT)","65 years and over",468305,601635,66150,62505,14.1,10.4,-3.7
"465","Salaberry-de-Valleyfield","CA","Quebec","24","",5.0,"00000","Low-income measure, after-tax (LIM-AT)","Total - Age groups",38405,38910,6450,6910,16.8,17.8,1.0
"465","Salaberry-de-Valleyfield","CA","Quebec","24","",5.0,"00000","Low-income measure, after-tax (LIM-AT)","0 to 17 years",7430,6545,1500,1285,20.2,19.6,-0.6
"465","Salaberry-de-Valleyfield","CA","Quebec","24","",5.0,"00000","Low-income measure, after-tax (LIM-AT)","0 to 5 years",1765,2355,460,450,26.1,19.1,-7.0
"465","Salaberry-de-Valleyfield","CA","Quebec","24","",5.0,"00000","Low-income measure, after-tax (LIM-AT)","18 to 64 years",24745,24215,3905,3955,15.8,16.3,0.5
"465","Salaberry-de-Valleyfield","CA","Quebec","24","",5.0,"00000","Low-income measure, after-tax (LIM-AT)","65 years and over",6220,8160,1050,1670,16.9,20.5,3.6
"465","Salaberry-de-Valleyfield","CA","Quebec","24","",5.0,"00000","Low-income cut-offs, after-tax (LICO-AT)","Total - Age groups",38380,38910,4330,3455,11.3,8.9,-2.4
"465","Salaberry-de-Valleyfield","CA","Quebec","24","",5.0,"00000","Low-income cut-offs, after-tax (LICO-AT)","0 to 17 years",7415,6540,975,595,13.1,9.1,-4.0
"465","Salaberry-de-Valleyfield","CA","Quebec","24","",5.0,"00000","Low-income cut-offs, after-tax (LICO-AT)","0 to 5 years",1765,2355,315,215,17.8,9.1,-8.7
"465","Salaberry-de-Valleyfield","CA","Quebec","24","",5.0,"00000","Low-income cut-offs, after-tax (LICO-AT)","18 to 64 years",24745,24210,2970,2660,12.0,11.0,-1.0
"465","Salaberry-de-Valleyfield","CA","Quebec","24","",5.0,"00000","Low-income cut-offs, after-tax (LICO-AT)","65 years and over",6225,8160,380,200,6.1,2.5,-3.6
"468","Lachute","CA","Quebec","24","",4.5,"00000","Low-income measure, after-tax (LIM-AT)","Total - Age groups",11475,12405,2415,3015,21.0,24.3,3.3
"468","Lachute","CA","Quebec","24","",4.5,"00000","Low-income measure, after-tax (LIM-AT)","0 to 17 years",2255,2165,560,660,24.8,30.5,5.7
"468","Lachute","CA","Quebec","24","",4.5,"00000","Low-income measure, after-tax (LIM-AT)","0 to 5 years",560,675,195,225,34.8,33.3,-1.5
"468","Lachute","CA","Quebec","24","",4.5,"00000","Low-income measure, after-tax (LIM-AT)","18 to 64 years",7200,7475,1420,1620,19.7,21.7,2.0
"468","Lachute","CA","Quebec","24","",4.5,"00000","Low-income measure, after-tax (LIM-AT)","65 years and over",2025,2760,425,735,21.0,26.6,5.6
"468","Lachute","CA","Quebec","24","",4.5,"00000","Low-income cut-offs, after-tax (LICO-AT)","Total - Age groups",11475,12405,1250,1230,10.9,9.9,-1.0
"468","Lachute","CA","Quebec","24","",4.5,"00000","Low-income cut-offs, after-tax (LICO-AT)","0 to 17 years",2255,2170,300,245,13.3,11.3,-2.0
"468","Lachute","CA","Quebec","24","",4.5,"00000","Low-income cut-offs, after-tax (LICO-AT)","0 to 5 years",560,675,105,80,18.8,11.9,-6.9
"468","Lachute","CA","Quebec","24","",4.5,"00000","Low-income cut-offs, after-tax (LICO-AT)","18 to 64 years",7200,7475,865,915,12.0,12.2,0.2
"468","Lachute","CA","Quebec","24","",4.5,"00000","Low-income cut-offs, after-tax (LICO-AT)","65 years and over",2025,2765,90,70,4.4,2.5,-1.9
"47840","Lloydminster (Saskatchewan part)","CA","Alberta","48","48",4.2,"00000","Low-income measure, after-tax (LIM-AT)","Total - Age groups",11040,14840,1355,1615,12.3,10.9,-1.4
"47840","Lloydminster (Saskatchewan part)","CA","Alberta","48","48",4.2,"00000","Low-income measure, after-tax (LIM-AT)","0 to 17 years",2945,4100,585,665,19.9,16.2,-3.7
"47840","Lloydminster (Saskatchewan part)","CA","Alberta","48","48",4.2,"00000","Low-income measure, after-tax (LIM-AT)","0 to 5 years",1030,1540,210,250,20.4,16.2,-4.2
"47840","Lloydminster (Saskatchewan part)","CA","Alberta","48","48",4.2,"00000","Low-income measure, after-tax (LIM-AT)","18 to 64 years",7295,9790,680,815,9.3,8.3,-1.0
"47840","Lloydminster (Saskatchewan part)","CA","Alberta","48","48",4.2,"00000","Low-income measure, after-tax (LIM-AT)","65 years and over",795,945,90,135,11.3,14.3,3.0
"47840","Lloydminster (Saskatchewan part)","CA","Alberta","48","48",4.2,"00000","Low-income cut-offs, after-tax (LICO-AT)","Total - Age groups",11040,14835,815,975,7.4,6.6,-0.8
"47840","Lloydminster (Saskatchewan part)","CA","Alberta","48","48",4.2,"00000","Low-income cut-offs, after-tax (LICO-AT)","0 to 17 years",2940,4100,365,405,12.4,9.9,-2.5
"47840","Lloydminster (Saskatchewan part)","CA","Alberta","48","48",4.2,"00000","Low-income cut-offs, after-tax (LICO-AT)","0 to 5 years",1025,1540,145,170,14.1,11.0,-3.1
"47840","Lloydminster (Saskatchewan part)","CA","Alberta","48","48",4.2,"00000","Low-income cut-offs, after-tax (LICO-AT)","18 to 64 years",7300,9790,440,550,6.0,5.6,-0.4
"47840","Lloydminster (Saskatchewan part)","CA","Alberta","48","48",4.2,"00000","Low-income cut-offs, after-tax (LICO-AT)","65 years and over",795,950,10,20,1.3,2.1,0.8
"480","Val-d'Or","CA","Quebec","24","",4.7,"00000","Low-income measure, after-tax (LIM-AT)","Total - Age groups",30445,31790,4690,3875,15.4,12.2,-3.2
"480","Val-d'Or","CA","Quebec","24","",4.7,"00000","Low-income measure, after-tax (LIM-AT)","0 to 17 years",6960,6470,945,685,13.6,10.6,-3.0
"480","Val-d'Or","CA","Quebec","24","",4.7,"00000","Low-income measure, after-tax (LIM-AT)","0 to 5 years",1920,2130,275,255,14.3,12.0,-2.3
"480","Val-d'Or","CA","Quebec","24","",4.7,"00000","Low-income measure, after-tax (LIM-AT)","18 to 64 years",20220,20530,3045,2135,15.1,10.4,-4.7
"480","Val-d'Or","CA","Quebec","24","",4.7,"00000","Low-income measure, after-tax (LIM-AT)","65 years and over",3265,4790,700,1060,21.4,22.1,0.7
"480","Val-d'Or","CA","Quebec","24","",4.7,"00000","Low-income cut-offs, after-tax (LICO-AT)","Total - Age groups",30450,31785,2400,1465,7.9,4.6,-3.3
"480","Val-d'Or","CA","Quebec","24","",4.7,"00000","Low-income cut-offs, after-tax (LICO-AT)","0 to 17 years",6960,6465,445,245,6.4,3.8,-2.6
"480","Val-d'Or","CA","Quebec","24","",4.7,"00000","Low-income cut-offs, after-tax (LICO-AT)","0 to 5 years",1920,2130,110,95,5.7,4.5,-1.2
"480","Val-d'Or","CA","Quebec","24","",4.7,"00000","Low-income cut-offs, after-tax (LICO-AT)","18 to 64 years",20215,20530,1880,1145,9.3,5.6,-3.7
"480","Val-d'Or","CA","Quebec","24","",4.7,"00000","Low-income cut-offs, after-tax (LICO-AT)","65 years and over",3270,4790,75,75,2.3,1.6,-0.7
"485","Rouyn-Noranda","CA","Quebec","24","",4.2,"00000","Low-income measure, after-tax (LIM-AT)","Total - Age groups",39300,41165,6265,5235,15.9,12.7,-3.2
"485","Rouyn-Noranda","CA","Quebec","24","",4.2,"00000","Low-income measure, after-tax (LIM-AT)","0 to 17 years",8820,8370,1220,815,13.8,9.7,-4.1
"485","Rouyn-Noranda","CA","Quebec","24","",4.2,"00000","Low-income measure, after-tax (LIM-AT)","0 to 5 years",2225,2925,360,290,16.2,9.9,-6.3
"485","Rouyn-Noranda","CA","Quebec","24","",4.2,"00000","Low-income measure, after-tax (LIM-AT)","18 to 64 years",25840,26525,4045,3055,15.7,11.5,-4.2
"485","Rouyn-Noranda","CA","Quebec","24","",4.2,"00000","Low-income measure, after-tax (LIM-AT)","65 years and over",4640,6270,1000,1370,21.6,21.9,0.3
"485","Rouyn-Noranda","CA","Quebec","24","",4.2,"00000","Low-income cut-offs, after-tax (LICO-AT)","Total - Age groups",39300,41170,3240,2065,8.2,5.0,-3.2
"485","Rouyn-Noranda","CA","Quebec","24","",4.2,"00000","Low-income cut-offs, after-tax (LICO-AT)","0 to 17 years",8820,8375,525,280,6.0,3.3,-2.7
"485","Rouyn-Noranda","CA","Quebec","24","",4.2,"00000","Low-income cut-offs, after-tax (LICO-AT)","0 to 5 years",2225,2920,120,90,5.4,3.1,-2.3
"485","Rouyn-Noranda","CA","Quebec","24","",4.2,"00000","Low-income cut-offs, after-tax (LICO-AT)","18 to 64 years",25840,26530,2580,1700,10.0,6.4,-3.6
"485","Rouyn-Noranda","CA","Quebec","24","",4.2,"00000","Low-income cut-offs, after-tax (LICO-AT)","65 years and over",4640,6265,135,85,2.9,1.4,-1.5
"48840","Lloydminster (Alberta part)","CA","Alberta","48","47",3.7,"00000","Low-income measure, after-tax (LIM-AT)","Total - Age groups",15600,19250,815,1475,5.2,7.7,2.5
"48840","Lloydminster (Alberta part)","CA","Alberta","48","47",3.7,"00000","Low-income measure, after-tax (LIM-AT)","0 to 17 years",4100,5050,210,550,5.1,10.9,5.8
"48840","Lloydminster (Alberta part)","CA","Alberta","48","47",3.7,"00000","Low-income measure, after-tax (LIM-AT)","0 to 5 years",1450,1715,110,240,7.6,14.0,6.4
"48840","Lloydminster (Alberta part)","CA","Alberta","48","47",3.7,"00000","Low-income measure, after-tax (LIM-AT)","18 to 64 years",10135,12480,535,805,5.3,6.5,1.2
"48840","Lloydminster (Alberta part)","CA","Alberta","48","47",3.7,"00000","Low-income measure, after-tax (LIM-AT)","65 years and over",1365,1720,70,120,5.1,7.0,1.9
"48840","Lloydminster (Alberta part)","CA","Alberta","48","47",3.7,"00000","Low-income cut-offs, after-tax (LICO-AT)","Total - Age groups",15600,19250,700,925,4.5,4.8,0.3
"48840","Lloydminster (Alberta part)","CA","Alberta","48","47",3.7,"00000","Low-income cut-offs, after-tax (LICO-AT)","0 to 17 years",4100,5050,155,365,3.8,7.2,3.4
"48840","Lloydminster (Alberta part)","CA","Alberta","48","47",3.7,"00000","Low-income cut-offs, after-tax (LICO-AT)","0 to 5 years",1445,1710,85,160,5.9,9.4,3.5
"48840","Lloydminster (Alberta part)","CA","Alberta","48","47",3.7,"00000","Low-income cut-offs, after-tax (LICO-AT)","18 to 64 years",10135,12480,535,545,5.3,4.4,-0.9
"48840","Lloydminster (Alberta part)","CA","Alberta","48","47",3.7,"00000","Low-income cut-offs, after-tax (LICO-AT)","65 years and over",1365,1720,10,10,0.7,0.6,-0.1
"501","Cornwall","CA","Ontario","35","",4.0,"00000","Low-income measure, after-tax (LIM-AT)","Total - Age groups",57155,58130,11110,13160,19.4,22.6,3.2
"501","Cornwall","CA","Ontario","35","",4.0,"00000","Low-income measure, after-tax (LIM-AT)","0 to 17 years",12670,11225,3420,3590,27.0,32.0,5.0
"501","Cornwall","CA","Ontario","35","",4.0,"00000","Low-income measure, after-tax (LIM-AT)","0 to 5 years",3295,3690,1180,1445,35.8,39.2,3.4
"501","Cornwall","CA","Ontario","35","",4.0,"00000","Low-income measure, after-tax (LIM-AT)","18 to 64 years",35160,34725,6635,7535,18.9,21.7,2.8
"501","Cornwall","CA","Ontario","35","",4.0,"00000","Low-income measure, after-tax (LIM-AT)","65 years and over",9335,12180,1050,2035,11.2,16.7,5.5
"501","Cornwall","CA","Ontario","35","",4.0,"00000","Low-income cut-offs, after-tax (LICO-AT)","Total - Age groups",57160,58135,7115,5800,12.4,10.0,-2.4
"501","Cornwall","CA","Ontario","35","",4.0,"00000","Low-income cut-offs, after-tax (LICO-AT)","0 to 17 years",12665,11225,2170,1460,17.1,13.0,-4.1
"501","Cornwall","CA","Ontario","35","",4.0,"00000","Low-income cut-offs, after-tax (LICO-AT)","0 to 5 years",3300,3690,805,615,24.4,16.7,-7.7
"501","Cornwall","CA","Ontario","35","",4.0,"00000","Low-income cut-offs, after-tax (LICO-AT)","18 to 64 years",35160,34730,4630,4110,13.2,11.8,-1.4
"501","Cornwall","CA","Ontario","35","",4.0,"00000","Low-income cut-offs, after-tax (LICO-AT)","65 years and over",9330,12180,325,230,3.5,1.9,-1.6
"502","Hawkesbury","CA","Ontario","35","24",4.5,"00000","Low-income measure, after-tax (LIM-AT)","Total - Age groups",11705,11530,3085,3105,26.4,26.9,0.5
"502","Hawkesbury","CA","Ontario","35","24",4.5,"00000","Low-income measure, after-tax (LIM-AT)","0 to 17 years",2335,1955,850,680,36.4,34.8,-1.6
"502","Hawkesbury","CA","Ontario","35","24",4.5,"00000","Low-income measure, after-tax (LIM-AT)","0 to 5 years",670,570,260,220,38.8,38.6,-0.2
"502","Hawkesbury","CA","Ontario","35","24",4.5,"00000","Low-income measure, after-tax (LIM-AT)","18 to 64 years",7335,6790,1745,1765,23.8,26.0,2.2
"502","Hawkesbury","CA","Ontario","35","24",4.5,"00000","Low-income measure, after-tax (LIM-AT)","65 years and over",2035,2790,490,660,24.1,23.7,-0.4
"502","Hawkesbury","CA","Ontario","35","24",4.5,"00000","Low-income cut-offs, after-tax (LICO-AT)","Total - Age groups",11705,11530,1340,1050,11.4,9.1,-2.3
"502","Hawkesbury","CA","Ontario","35","24",4.5,"00000","Low-income cut-offs, after-tax (LICO-AT)","0 to 17 years",2340,1955,380,210,16.2,10.7,-5.5
"502","Hawkesbury","CA","Ontario","35","24",4.5,"00000","Low-income cut-offs, after-tax (LICO-AT)","0 to 5 years",670,570,140,75,20.9,13.2,-7.7
"502","Hawkesbury","CA","Ontario","35","24",4.5,"00000","Low-income cut-offs, after-tax (LICO-AT)","18 to 64 years",7335,6790,950,780,13.0,11.5,-1.5
"502","Hawkesbury","CA","Ontario","35","24",4.5,"00000","Low-income cut-offs, after-tax (LICO-AT)","65 years and over",2030,2790,10,55,0.5,2.0,1.5
"505","Ottawa - Gatineau","CMA","Ontario","35","24",3.5,"00000","Low-income measure, after-tax (LIM-AT)","Total - Age groups",1132700,1300730,131715,159035,11.6,12.2,0.6
"505","Ottawa - Gatineau","CMA","Ontario","35","24",3.5,"00000","Low-income measure, after-tax (LIM-AT)","0 to 17 years",254545,272405,37340,40605,14.7,14.9,0.2
"505","Ottawa - Gatineau","CMA","Ontario","35","24",3.5,"00000","Low-income measure, after-tax (LIM-AT)","0 to 5 years",75290,87655,12355,13940,16.4,15.9,-0.5
"505","Ottawa - Gatineau","CMA","Ontario","35","24",3.5,"00000","Low-income measure, after-tax (LIM-AT)","18 to 64 years",754935,845815,83745,99465,11.1,11.8,0.7
"505","Ottawa - Gatineau","CMA","Ontario","35","24",3.5,"00000","Low-income measure, after-tax (LIM-AT)","65 years and over",123215,182510,10635,18965,8.6,10.4,1.8
"505","Ottawa - Gatineau","CMA","Ontario","35","24",3.5,"00000","Low-income cut-offs, after-tax (LICO-AT)","Total - Age groups",1132535,1300735,130935,129610,11.6,10.0,-1.6
"505","Ottawa - Gatineau","CMA","Ontario","35","24",3.5,"00000","Low-income cut-offs, after-tax (LICO-AT)","0 to 17 years",254380,272405,34410,29350,13.5,10.8,-2.7
"505","Ottawa - Gatineau","CMA","Ontario","35","24",3.5,"00000","Low-income cut-offs, after-tax (LICO-AT)","0 to 5 years",75225,87655,11430,10245,15.2,11.7,-3.5
"505","Ottawa - Gatineau","CMA","Ontario","35","24",3.5,"00000","Low-income cut-offs, after-tax (LICO-AT)","18 to 64 years",754940,845815,87310,88910,11.6,10.5,-1.1
"505","Ottawa - Gatineau","CMA","Ontario","35","24",3.5,"00000","Low-income cut-offs, after-tax (LICO-AT)","65 years and over",123215,182510,9210,11345,7.5,6.2,-1.3
