"Geographic code","Geographic name","Geographic type","Geographic name, Province or territory","Geographic code, Province or territory","Global non-response rate","Data quality flag","Low-income concepts","Age groups","Population in private households for income status, 2006","Population in private households for income status, 2016","Number of persons in low income, 2005","Number of persons in low income, 2015","Prevalence of low income (%), 2005","Prevalence of low income (%), 2015","Prevalence of low income (%), Difference"
"2436","Shawinigan","Territoire équivalent","Quebec","24",4.0,"00000","Low-income measure, after-tax (LIM-AT)","Total - Age groups",50015,47420,10975,10295,21.9,21.7,-0.2
"2436","Shawinigan","Territoire équivalent","Quebec","24",4.0,"00000","Low-income measure, after-tax (LIM-AT)","0 to 17 years",8355,7115,2045,1490,24.5,20.9,-3.6
"2436","Shawinigan","Territoire équivalent","Quebec","24",4.0,"00000","Low-income measure, after-tax (LIM-AT)","0 to 5 years",2230,2445,625,525,28.0,21.5,-6.5
"2436","Shawinigan","Territoire équivalent","Quebec","24",4.0,"00000","Low-income measure, after-tax (LIM-AT)","18 to 64 years",31910,28480,6900,5745,21.6,20.2,-1.4
"2436","Shawinigan","Territoire équivalent","Quebec","24",4.0,"00000","Low-income measure, after-tax (LIM-AT)","65 years and over",9750,11825,2030,3065,20.8,25.9,5.1
"2436","Shawinigan","Territoire équivalent","Quebec","24",4.0,"00000","Low-income cut-offs, after-tax (LICO-AT)","Total - Age groups",50000,47425,7335,4670,14.7,9.8,-4.9
"2436","Shawinigan","Territoire équivalent","Quebec","24",4.0,"00000","Low-income cut-offs, after-tax (LICO-AT)","0 to 17 years",8345,7115,1285,645,15.4,9.1,-6.3
"2436","Shawinigan","Territoire équivalent","Quebec","24",4.0,"00000","Low-income cut-offs, after-tax (LICO-AT)","0 to 5 years",2235,2450,395,250,17.7,10.2,-7.5
"2436","Shawinigan","Territoire équivalent","Quebec","24",4.0,"00000","Low-income cut-offs, after-tax (LICO-AT)","18 to 64 years",31910,28480,5295,3695,16.6,13.0,-3.6
"2436","Shawinigan","Territoire équivalent","Quebec","24",4.0,"00000","Low-income cut-offs, after-tax (LICO-AT)","65 years and over",9745,11825,755,330,7.7,2.8,-4.9
"2437","Francheville","Census division","Quebec","24",4.3,"00000","Low-income measure, after-tax (LIM-AT)","Total - Age groups",139515,147285,25575,25830,18.3,17.5,-0.8
"2437","Francheville","Census division","Quebec","24",4.3,"00000","Low-income measure, after-tax (LIM-AT)","0 to 17 years",26330,25675,4990,4315,19.0,16.8,-2.2
"2437","Francheville","Census division","Quebec","24",4.3,"00000","Low-income measure, after-tax (LIM-AT)","0 to 5 years",6960,8570,1820,1425,26.1,16.6,-9.5
"2437","Francheville","Census division","Quebec","24",4.3,"00000","Low-income measure, after-tax (LIM-AT)","18 to 64 years",91690,92005,16565,15245,18.1,16.6,-1.5
"2437","Francheville","Census division","Quebec","24",4.3,"00000","Low-income measure, after-tax (LIM-AT)","65 years and over",21490,29600,4015,6265,18.7,21.2,2.5
"2437","Francheville","Census division","Quebec","24",4.3,"00000","Low-income cut-offs, after-tax (LICO-AT)","Total - Age groups",139495,147285,17480,12820,12.5,8.7,-3.8
"2437","Francheville","Census division","Quebec","24",4.3,"00000","Low-income cut-offs, after-tax (LICO-AT)","0 to 17 years",26315,25675,3095,2075,11.8,8.1,-3.7
"2437","Francheville","Census division","Quebec","24",4.3,"00000","Low-income cut-offs, after-tax (LICO-AT)","0 to 5 years",6945,8570,990,685,14.3,8.0,-6.3
"2437","Francheville","Census division","Quebec","24",4.3,"00000","Low-income cut-offs, after-tax (LICO-AT)","18 to 64 years",91690,92010,12620,10030,13.8,10.9,-2.9
"2437","Francheville","Census division","Quebec","24",4.3,"00000","Low-income cut-offs, after-tax (LICO-AT)","65 years and over",21490,29605,1765,720,8.2,2.4,-5.8
"2438","Bécancour","Municipalité régionale de comté","Quebec","24",3.6,"00000","Low-income measure, after-tax (LIM-AT)","Total - Age groups",18155,19635,2820,2900,15.5,14.8,-0.7
"2438","Bécancour","Municipalité régionale de comté","Quebec","24",3.6,"00000","Low-income measure, after-tax (LIM-AT)","0 to 17 years",3840,3755,655,530,17.1,14.1,-3.0
"2438","Bécancour","Municipalité régionale de comté","Quebec","24",3.6,"00000","Low-income measure, after-tax (LIM-AT)","0 to 5 years",975,1305,200,160,20.5,12.3,-8.2
"2438","Bécancour","Municipalité régionale de comté","Quebec","24",3.6,"00000","Low-income measure, after-tax (LIM-AT)","18 to 64 years",11680,11955,1635,1425,14.0,11.9,-2.1
"2438","Bécancour","Municipalité régionale de comté","Quebec","24",3.6,"00000","Low-income measure, after-tax (LIM-AT)","65 years and over",2630,3925,525,945,20.0,24.1,4.1
"2438","Bécancour","Municipalité régionale de comté","Quebec","24",3.6,"00000","Low-income cut-offs, after-tax (LICO-AT)","Total - Age groups",18155,19640,1180,815,6.5,4.1,-2.4
"2438","Bécancour","Municipalité régionale de comté","Quebec","24",3.6,"00000","Low-income cut-offs, after-tax (LICO-AT)","0 to 17 years",3845,3755,240,105,6.2,2.8,-3.4
"2438","Bécancour","Municipalité régionale de comté","Quebec","24",3.6,"00000","Low-income cut-offs, after-tax (LICO-AT)","0 to 5 years",975,1310,90,35,9.2,2.7,-6.5
"2438","Bécancour","Municipalité régionale de comté","Quebec","24",3.6,"00000","Low-income cut-offs, after-tax (LICO-AT)","18 to 64 years",11680,11955,865,660,7.4,5.5,-1.9
"2438","Bécancour","Municipalité régionale de comté","Quebec","24",3.6,"00000","Low-income cut-offs, after-tax (LICO-AT)","65 years and over",2635,3920,70,50,2.7,1.3,-1.4
"2439","Arthabaska","Municipalité régionale de comté","Quebec","24",4.4,"00000","Low-income measure, after-tax (LIM-AT)","Total - Age groups",64225,69520,9915,10370,15.4,14.9,-0.5
"2439","Arthabaska","Municipalité régionale de comté","Quebec","24",4.4,"00000","Low-income measure, after-tax (LIM-AT)","0 to 17 years",14220,14160,2190,1830,15.4,12.9,-2.5
"2439","Arthabaska","Municipalité régionale de comté","Quebec","24",4.4,"00000","Low-income measure, after-tax (LIM-AT)","0 to 5 years",4065,4660,650,585,16.0,12.6,-3.4
"2439","Arthabaska","Municipalité régionale de comté","Quebec","24",4.4,"00000","Low-income measure, after-tax (LIM-AT)","18 to 64 years",41870,42355,6270,5600,15.0,13.2,-1.8
"2439","Arthabaska","Municipalité régionale de comté","Quebec","24",4.4,"00000","Low-income measure, after-tax (LIM-AT)","65 years and over",8135,13010,1455,2940,17.9,22.6,4.7
"2439","Arthabaska","Municipalité régionale de comté","Quebec","24",4.4,"00000","Low-income cut-offs, after-tax (LICO-AT)","Total - Age groups",64225,69525,5390,4095,8.4,5.9,-2.5
"2439","Arthabaska","Municipalité régionale de comté","Quebec","24",4.4,"00000","Low-income cut-offs, after-tax (LICO-AT)","0 to 17 years",14220,14160,990,710,7.0,5.0,-2.0
"2439","Arthabaska","Municipalité régionale de comté","Quebec","24",4.4,"00000","Low-income cut-offs, after-tax (LICO-AT)","0 to 5 years",4065,4655,255,220,6.3,4.7,-1.6
"2439","Arthabaska","Municipalité régionale de comté","Quebec","24",4.4,"00000","Low-income cut-offs, after-tax (LICO-AT)","18 to 64 years",41870,42355,3965,3125,9.5,7.4,-2.1
"2439","Arthabaska","Municipalité régionale de comté","Quebec","24",4.4,"00000","Low-income cut-offs, after-tax (LICO-AT)","65 years and over",8135,13010,435,260,5.3,2.0,-3.3
"2440","Les Sources","Municipalité régionale de comté","Quebec","24",4.5,"00000","Low-income measure, after-tax (LIM-AT)","Total - Age groups",14090,13770,2530,2750,18.0,20.0,2.0
"2440","Les Sources","Municipalité régionale de comté","Quebec","24",4.5,"00000","Low-income measure, after-tax (LIM-AT)","0 to 17 years",2660,2695,665,570,25.0,21.2,-3.8
"2440","Les Sources","Municipalité régionale de comté","Quebec","24",4.5,"00000","Low-income measure, after-tax (LIM-AT)","0 to 5 years",745,855,205,185,27.5,21.6,-5.9
"2440","Les Sources","Municipalité régionale de comté","Quebec","24",4.5,"00000","Low-income measure, after-tax (LIM-AT)","18 to 64 years",8815,7725,1495,1410,17.0,18.3,1.3
"2440","Les Sources","Municipalité régionale de comté","Quebec","24",4.5,"00000","Low-income measure, after-tax (LIM-AT)","65 years and over",2615,3350,365,770,14.0,23.0,9.0
"2440","Les Sources","Municipalité régionale de comté","Quebec","24",4.5,"00000","Low-income cut-offs, after-tax (LICO-AT)","Total - Age groups",14090,13770,1295,880,9.2,6.4,-2.8
"2440","Les Sources","Municipalité régionale de comté","Quebec","24",4.5,"00000","Low-income cut-offs, after-tax (LICO-AT)","0 to 17 years",2655,2695,360,140,13.6,5.2,-8.4
"2440","Les Sources","Municipalité régionale de comté","Quebec","24",4.5,"00000","Low-income cut-offs, after-tax (LICO-AT)","0 to 5 years",740,850,115,35,15.5,4.1,-11.4
"2440","Les Sources","Municipalité régionale de comté","Quebec","24",4.5,"00000","Low-income cut-offs, after-tax (LICO-AT)","18 to 64 years",8815,7725,905,680,10.3,8.8,-1.5
"2440","Les Sources","Municipalité régionale de comté","Quebec","24",4.5,"00000","Low-income cut-offs, after-tax (LICO-AT)","65 years and over",2615,3350,30,60,1.1,1.8,0.7
"2441","Le Haut-Saint-François","Municipalité régionale de comté","Quebec","24",3.7,"00000","Low-income measure, after-tax (LIM-AT)","Total - Age groups",21440,21895,4055,3705,18.9,16.9,-2.0
"2441","Le Haut-Saint-François","Municipalité régionale de comté","Quebec","24",3.7,"00000","Low-income measure, after-tax (LIM-AT)","0 to 17 years",4845,4515,1000,700,20.6,15.5,-5.1
"2441","Le Haut-Saint-François","Municipalité régionale de comté","Quebec","24",3.7,"00000","Low-income measure, after-tax (LIM-AT)","0 to 5 years",1345,1535,380,225,28.3,14.7,-13.6
"2441","Le Haut-Saint-François","Municipalité régionale de comté","Quebec","24",3.7,"00000","Low-income measure, after-tax (LIM-AT)","18 to 64 years",13740,13165,2520,1940,18.3,14.7,-3.6
"2441","Le Haut-Saint-François","Municipalité régionale de comté","Quebec","24",3.7,"00000","Low-income measure, after-tax (LIM-AT)","65 years and over",2855,4215,535,1065,18.7,25.3,6.6
"2441","Le Haut-Saint-François","Municipalité régionale de comté","Quebec","24",3.7,"00000","Low-income cut-offs, after-tax (LICO-AT)","Total - Age groups",21430,21895,1640,1025,7.7,4.7,-3.0
"2441","Le Haut-Saint-François","Municipalité régionale de comté","Quebec","24",3.7,"00000","Low-income cut-offs, after-tax (LICO-AT)","0 to 17 years",4830,4520,335,175,6.9,3.9,-3.0
"2441","Le Haut-Saint-François","Municipalité régionale de comté","Quebec","24",3.7,"00000","Low-income cut-offs, after-tax (LICO-AT)","0 to 5 years",1335,1535,85,50,6.4,3.3,-3.1
"2441","Le Haut-Saint-François","Municipalité régionale de comté","Quebec","24",3.7,"00000","Low-income cut-offs, after-tax (LICO-AT)","18 to 64 years",13745,13160,1250,790,9.1,6.0,-3.1
"2441","Le Haut-Saint-François","Municipalité régionale de comté","Quebec","24",3.7,"00000","Low-income cut-offs, after-tax (LICO-AT)","65 years and over",2855,4215,45,65,1.6,1.5,-0.1
"2442","Le Val-Saint-François","Municipalité régionale de comté","Quebec","24",3.6,"00000","Low-income measure, after-tax (LIM-AT)","Total - Age groups",28430,29955,3895,3745,13.7,12.5,-1.2
"2442","Le Val-Saint-François","Municipalité régionale de comté","Quebec","24",3.6,"00000","Low-income measure, after-tax (LIM-AT)","0 to 17 years",6405,6315,950,705,14.8,11.2,-3.6
"2442","Le Val-Saint-François","Municipalité régionale de comté","Quebec","24",3.6,"00000","Low-income measure, after-tax (LIM-AT)","0 to 5 years",1835,2200,285,235,15.5,10.7,-4.8
"2442","Le Val-Saint-François","Municipalité régionale de comté","Quebec","24",3.6,"00000","Low-income measure, after-tax (LIM-AT)","18 to 64 years",18550,18385,2350,2020,12.7,11.0,-1.7
"2442","Le Val-Saint-François","Municipalité régionale de comté","Quebec","24",3.6,"00000","Low-income measure, after-tax (LIM-AT)","65 years and over",3470,5260,590,1015,17.0,19.3,2.3
"2442","Le Val-Saint-François","Municipalité régionale de comté","Quebec","24",3.6,"00000","Low-income cut-offs, after-tax (LICO-AT)","Total - Age groups",28415,29955,1640,1140,5.8,3.8,-2.0
"2442","Le Val-Saint-François","Municipalité régionale de comté","Quebec","24",3.6,"00000","Low-income cut-offs, after-tax (LICO-AT)","0 to 17 years",6390,6315,355,170,5.6,2.7,-2.9
"2442","Le Val-Saint-François","Municipalité régionale de comté","Quebec","24",3.6,"00000","Low-income cut-offs, after-tax (LICO-AT)","0 to 5 years",1840,2200,105,60,5.7,2.7,-3.0
"2442","Le Val-Saint-François","Municipalité régionale de comté","Quebec","24",3.6,"00000","Low-income cut-offs, after-tax (LICO-AT)","18 to 64 years",18550,18385,1210,890,6.5,4.8,-1.7
"2442","Le Val-Saint-François","Municipalité régionale de comté","Quebec","24",3.6,"00000","Low-income cut-offs, after-tax (LICO-AT)","65 years and over",3475,5260,80,80,2.3,1.5,-0.8
"2443","Sherbrooke","Territoire équivalent","Quebec","24",4.2,"00000","Low-income measure, after-tax (LIM-AT)","Total - Age groups",143770,156260,24830,27830,17.3,17.8,0.5
"2443","Sherbrooke","Territoire équivalent","Quebec","24",4.2,"00000","Low-income measure, after-tax (LIM-AT)","0 to 17 years",30235,30955,5120,4945,16.9,16.0,-0.9
"2443","Sherbrooke","Territoire équivalent","Quebec","24",4.2,"00000","Low-income measure, after-tax (LIM-AT)","0 to 5 years",8960,10485,1715,1605,19.1,15.3,-3.8
"2443","Sherbrooke","Territoire équivalent","Quebec","24",4.2,"00000","Low-income measure, after-tax (LIM-AT)","18 to 64 years",94995,99075,16455,17640,17.3,17.8,0.5
"2443","Sherbrooke","Territoire équivalent","Quebec","24",4.2,"00000","Low-income measure, after-tax (LIM-AT)","65 years and over",18540,26230,3260,5245,17.6,20.0,2.4
"2443","Sherbrooke","Territoire équivalent","Quebec","24",4.2,"00000","Low-income cut-offs, after-tax (LICO-AT)","Total - Age groups",143760,156260,19055,15905,13.3,10.2,-3.1
"2443","Sherbrooke","Territoire équivalent","Quebec","24",4.2,"00000","Low-income cut-offs, after-tax (LICO-AT)","0 to 17 years",30230,30960,3455,2540,11.4,8.2,-3.2
"2443","Sherbrooke","Territoire équivalent","Quebec","24",4.2,"00000","Low-income cut-offs, after-tax (LICO-AT)","0 to 5 years",8950,10485,1175,825,13.1,7.9,-5.2
"2443","Sherbrooke","Territoire équivalent","Quebec","24",4.2,"00000","Low-income cut-offs, after-tax (LICO-AT)","18 to 64 years",94995,99070,14165,12620,14.9,12.7,-2.2
"2443","Sherbrooke","Territoire équivalent","Quebec","24",4.2,"00000","Low-income cut-offs, after-tax (LICO-AT)","65 years and over",18535,26225,1435,750,7.7,2.9,-4.8
"2444","Coaticook","Municipalité régionale de comté","Quebec","24",3.7,"00000","Low-income measure, after-tax (LIM-AT)","Total - Age groups",18105,18090,2440,2535,13.5,14.0,0.5
"2444","Coaticook","Municipalité régionale de comté","Quebec","24",3.7,"00000","Low-income measure, after-tax (LIM-AT)","0 to 17 years",4430,4000,485,560,10.9,14.0,3.1
"2444","Coaticook","Municipalité régionale de comté","Quebec","24",3.7,"00000","Low-income measure, after-tax (LIM-AT)","0 to 5 years",1270,1225,160,180,12.6,14.7,2.1
"2444","Coaticook","Municipalité régionale de comté","Quebec","24",3.7,"00000","Low-income measure, after-tax (LIM-AT)","18 to 64 years",11225,10645,1560,1275,13.9,12.0,-1.9
"2444","Coaticook","Municipalité régionale de comté","Quebec","24",3.7,"00000","Low-income measure, after-tax (LIM-AT)","65 years and over",2445,3445,395,710,16.2,20.6,4.4
"2444","Coaticook","Municipalité régionale de comté","Quebec","24",3.7,"00000","Low-income cut-offs, after-tax (LICO-AT)","Total - Age groups",18105,18090,1165,610,6.4,3.4,-3.0
"2444","Coaticook","Municipalité régionale de comté","Quebec","24",3.7,"00000","Low-income cut-offs, after-tax (LICO-AT)","0 to 17 years",4430,4000,205,95,4.6,2.4,-2.2
"2444","Coaticook","Municipalité régionale de comté","Quebec","24",3.7,"00000","Low-income cut-offs, after-tax (LICO-AT)","0 to 5 years",1270,1230,65,20,5.1,1.6,-3.5
"2444","Coaticook","Municipalité régionale de comté","Quebec","24",3.7,"00000","Low-income cut-offs, after-tax (LICO-AT)","18 to 64 years",11230,10645,905,455,8.1,4.3,-3.8
"2444","Coaticook","Municipalité régionale de comté","Quebec","24",3.7,"00000","Low-income cut-offs, after-tax (LICO-AT)","65 years and over",2445,3445,55,50,2.2,1.5,-0.7
"2445","Memphrémagog","Municipalité régionale de comté","Quebec","24",4.6,"00000","Low-income measure, after-tax (LIM-AT)","Total - Age groups",44470,49025,6330,6925,14.2,14.1,-0.1
"2445","Memphrémagog","Municipalité régionale de comté","Quebec","24",4.6,"00000","Low-income measure, after-tax (LIM-AT)","0 to 17 years",8710,8475,1335,1220,15.3,14.4,-0.9
"2445","Memphrémagog","Municipalité régionale de comté","Quebec","24",4.6,"00000","Low-income measure, after-tax (LIM-AT)","0 to 5 years",2410,2595,395,355,16.4,13.7,-2.7
"2445","Memphrémagog","Municipalité régionale de comté","Quebec","24",4.6,"00000","Low-income measure, after-tax (LIM-AT)","18 to 64 years",28450,28625,4035,3825,14.2,13.4,-0.8
"2445","Memphrémagog","Municipalité régionale de comté","Quebec","24",4.6,"00000","Low-income measure, after-tax (LIM-AT)","65 years and over",7305,11925,960,1880,13.1,15.8,2.7
"2445","Memphrémagog","Municipalité régionale de comté","Quebec","24",4.6,"00000","Low-income cut-offs, after-tax (LICO-AT)","Total - Age groups",44470,49025,3005,2395,6.8,4.9,-1.9
"2445","Memphrémagog","Municipalité régionale de comté","Quebec","24",4.6,"00000","Low-income cut-offs, after-tax (LICO-AT)","0 to 17 years",8710,8475,625,360,7.2,4.2,-3.0
"2445","Memphrémagog","Municipalité régionale de comté","Quebec","24",4.6,"00000","Low-income cut-offs, after-tax (LICO-AT)","0 to 5 years",2410,2600,115,110,4.8,4.2,-0.6
"2445","Memphrémagog","Municipalité régionale de comté","Quebec","24",4.6,"00000","Low-income cut-offs, after-tax (LICO-AT)","18 to 64 years",28450,28625,2255,1820,7.9,6.4,-1.5
"2445","Memphrémagog","Municipalité régionale de comté","Quebec","24",4.6,"00000","Low-income cut-offs, after-tax (LICO-AT)","65 years and over",7310,11925,130,205,1.8,1.7,-0.1
"2446","Brome-Missisquoi","Municipalité régionale de comté","Quebec","24",4.0,"00000","Low-income measure, after-tax (LIM-AT)","Total - Age groups",51130,56615,7110,8385,13.9,14.8,0.9
"2446","Brome-Missisquoi","Municipalité régionale de comté","Quebec","24",4.0,"00000","Low-income measure, after-tax (LIM-AT)","0 to 17 years",10735,10825,1430,1775,13.3,16.4,3.1
"2446","Brome-Missisquoi","Municipalité régionale de comté","Quebec","24",4.0,"00000","Low-income measure, after-tax (LIM-AT)","0 to 5 years",2875,3370,470,535,16.3,15.9,-0.4
"2446","Brome-Missisquoi","Municipalité régionale de comté","Quebec","24",4.0,"00000","Low-income measure, after-tax (LIM-AT)","18 to 64 years",32785,33440,4400,4600,13.4,13.8,0.4
"2446","Brome-Missisquoi","Municipalité régionale de comté","Quebec","24",4.0,"00000","Low-income measure, after-tax (LIM-AT)","65 years and over",7615,12345,1280,2015,16.8,16.3,-0.5
"2446","Brome-Missisquoi","Municipalité régionale de comté","Quebec","24",4.0,"00000","Low-income cut-offs, after-tax (LICO-AT)","Total - Age groups",51125,56610,3420,2935,6.7,5.2,-1.5
"2446","Brome-Missisquoi","Municipalité régionale de comté","Quebec","24",4.0,"00000","Low-income cut-offs, after-tax (LICO-AT)","0 to 17 years",10730,10830,650,570,6.1,5.3,-0.8
"2446","Brome-Missisquoi","Municipalité régionale de comté","Quebec","24",4.0,"00000","Low-income cut-offs, after-tax (LICO-AT)","0 to 5 years",2880,3370,235,175,8.2,5.2,-3.0
"2446","Brome-Missisquoi","Municipalité régionale de comté","Quebec","24",4.0,"00000","Low-income cut-offs, after-tax (LICO-AT)","18 to 64 years",32780,33440,2615,2165,8.0,6.5,-1.5
"2446","Brome-Missisquoi","Municipalité régionale de comté","Quebec","24",4.0,"00000","Low-income cut-offs, after-tax (LICO-AT)","65 years and over",7610,12340,160,195,2.1,1.6,-0.5
"2447","La Haute-Yamaska","Municipalité régionale de comté","Quebec","24",4.0,"00000","Low-income measure, after-tax (LIM-AT)","Total - Age groups",77390,85810,11000,12565,14.2,14.6,0.4
"2447","La Haute-Yamaska","Municipalité régionale de comté","Quebec","24",4.0,"00000","Low-income measure, after-tax (LIM-AT)","0 to 17 years",16965,17375,2375,2525,14.0,14.5,0.5
"2447","La Haute-Yamaska","Municipalité régionale de comté","Quebec","24",4.0,"00000","Low-income measure, after-tax (LIM-AT)","0 to 5 years",5000,5740,875,855,17.5,14.9,-2.6
"2447","La Haute-Yamaska","Municipalité régionale de comté","Quebec","24",4.0,"00000","Low-income measure, after-tax (LIM-AT)","18 to 64 years",50685,52675,6945,6835,13.7,13.0,-0.7
"2447","La Haute-Yamaska","Municipalité régionale de comté","Quebec","24",4.0,"00000","Low-income measure, after-tax (LIM-AT)","65 years and over",9740,15760,1680,3210,17.2,20.4,3.2
"2447","La Haute-Yamaska","Municipalité régionale de comté","Quebec","24",4.0,"00000","Low-income cut-offs, after-tax (LICO-AT)","Total - Age groups",77365,85815,6700,5350,8.7,6.2,-2.5
"2447","La Haute-Yamaska","Municipalité régionale de comté","Quebec","24",4.0,"00000","Low-income cut-offs, after-tax (LICO-AT)","0 to 17 years",16945,17380,1405,1015,8.3,5.8,-2.5
"2447","La Haute-Yamaska","Municipalité régionale de comté","Quebec","24",4.0,"00000","Low-income cut-offs, after-tax (LICO-AT)","0 to 5 years",4980,5735,555,360,11.1,6.3,-4.8
"2447","La Haute-Yamaska","Municipalité régionale de comté","Quebec","24",4.0,"00000","Low-income cut-offs, after-tax (LICO-AT)","18 to 64 years",50685,52670,4700,3995,9.3,7.6,-1.7
"2447","La Haute-Yamaska","Municipalité régionale de comté","Quebec","24",4.0,"00000","Low-income cut-offs, after-tax (LICO-AT)","65 years and over",9735,15765,585,345,6.0,2.2,-3.8
"2448","Acton","Municipalité régionale de comté","Quebec","24",3.5,"00000","Low-income measure, after-tax (LIM-AT)","Total - Age groups",14985,15205,2335,2520,15.6,16.6,1.0
"2448","Acton","Municipalité régionale de comté","Quebec","24",3.5,"00000","Low-income measure, after-tax (LIM-AT)","0 to 17 years",3370,3180,595,535,17.7,16.8,-0.9
"2448","Acton","Municipalité régionale de comté","Quebec","24",3.5,"00000","Low-income measure, after-tax (LIM-AT)","0 to 5 years",915,1015,185,170,20.2,16.7,-3.5
"2448","Acton","Municipalité régionale de comté","Quebec","24",3.5,"00000","Low-income measure, after-tax (LIM-AT)","18 to 64 years",9755,9160,1440,1285,14.8,14.0,-0.8
"2448","Acton","Municipalité régionale de comté","Quebec","24",3.5,"00000","Low-income measure, after-tax (LIM-AT)","65 years and over",1860,2860,300,700,16.1,24.5,8.4
"2448","Acton","Municipalité régionale de comté","Quebec","24",3.5,"00000","Low-income cut-offs, after-tax (LICO-AT)","Total - Age groups",14975,15200,975,710,6.5,4.7,-1.8
"2448","Acton","Municipalité régionale de comté","Quebec","24",3.5,"00000","Low-income cut-offs, after-tax (LICO-AT)","0 to 17 years",3360,3185,220,90,6.5,2.8,-3.7
"2448","Acton","Municipalité régionale de comté","Quebec","24",3.5,"00000","Low-income cut-offs, after-tax (LICO-AT)","0 to 5 years",915,1010,90,30,9.8,3.0,-6.8
"2448","Acton","Municipalité régionale de comté","Quebec","24",3.5,"00000","Low-income cut-offs, after-tax (LICO-AT)","18 to 64 years",9755,9165,730,555,7.5,6.1,-1.4
"2448","Acton","Municipalité régionale de comté","Quebec","24",3.5,"00000","Low-income cut-offs, after-tax (LICO-AT)","65 years and over",1855,2860,25,60,1.3,2.1,0.8
"2449","Drummond","Municipalité régionale de comté","Quebec","24",4.4,"00000","Low-income measure, after-tax (LIM-AT)","Total - Age groups",90475,100090,14600,16045,16.1,16.0,-0.1
"2449","Drummond","Municipalité régionale de comté","Quebec","24",4.4,"00000","Low-income measure, after-tax (LIM-AT)","0 to 17 years",19825,20970,3220,3050,16.2,14.5,-1.7
"2449","Drummond","Municipalité régionale de comté","Quebec","24",4.4,"00000","Low-income measure, after-tax (LIM-AT)","0 to 5 years",5900,6870,1080,970,18.3,14.1,-4.2
"2449","Drummond","Municipalité régionale de comté","Quebec","24",4.4,"00000","Low-income measure, after-tax (LIM-AT)","18 to 64 years",59350,62035,9190,9115,15.5,14.7,-0.8
"2449","Drummond","Municipalité régionale de comté","Quebec","24",4.4,"00000","Low-income measure, after-tax (LIM-AT)","65 years and over",11305,17080,2185,3875,19.3,22.7,3.4
"2449","Drummond","Municipalité régionale de comté","Quebec","24",4.4,"00000","Low-income cut-offs, after-tax (LICO-AT)","Total - Age groups",90450,100090,8875,7110,9.8,7.1,-2.7
"2449","Drummond","Municipalité régionale de comté","Quebec","24",4.4,"00000","Low-income cut-offs, after-tax (LICO-AT)","0 to 17 years",19800,20970,1750,1250,8.8,6.0,-2.8
"2449","Drummond","Municipalité régionale de comté","Quebec","24",4.4,"00000","Low-income cut-offs, after-tax (LICO-AT)","0 to 5 years",5895,6875,595,425,10.1,6.2,-3.9
"2449","Drummond","Municipalité régionale de comté","Quebec","24",4.4,"00000","Low-income cut-offs, after-tax (LICO-AT)","18 to 64 years",59345,62040,6370,5445,10.7,8.8,-1.9
"2449","Drummond","Municipalité régionale de comté","Quebec","24",4.4,"00000","Low-income cut-offs, after-tax (LICO-AT)","65 years and over",11300,17080,750,410,6.6,2.4,-4.2
"2450","Nicolet-Yamaska","Municipalité régionale de comté","Quebec","24",3.6,"00000","Low-income measure, after-tax (LIM-AT)","Total - Age groups",21690,21860,3615,3515,16.7,16.1,-0.6
"2450","Nicolet-Yamaska","Municipalité régionale de comté","Quebec","24",3.6,"00000","Low-income measure, after-tax (LIM-AT)","0 to 17 years",4585,4255,990,600,21.6,14.1,-7.5
"2450","Nicolet-Yamaska","Municipalité régionale de comté","Quebec","24",3.6,"00000","Low-income measure, after-tax (LIM-AT)","0 to 5 years",1190,1485,280,215,23.5,14.5,-9.0
"2450","Nicolet-Yamaska","Municipalité régionale de comté","Quebec","24",3.6,"00000","Low-income measure, after-tax (LIM-AT)","18 to 64 years",13890,13315,2120,1850,15.3,13.9,-1.4
"2450","Nicolet-Yamaska","Municipalité régionale de comté","Quebec","24",3.6,"00000","Low-income measure, after-tax (LIM-AT)","65 years and over",3215,4290,510,1070,15.9,24.9,9.0
"2450","Nicolet-Yamaska","Municipalité régionale de comté","Quebec","24",3.6,"00000","Low-income cut-offs, after-tax (LICO-AT)","Total - Age groups",21685,21860,1490,1025,6.9,4.7,-2.2
"2450","Nicolet-Yamaska","Municipalité régionale de comté","Quebec","24",3.6,"00000","Low-income cut-offs, after-tax (LICO-AT)","0 to 17 years",4580,4250,315,145,6.9,3.4,-3.5
"2450","Nicolet-Yamaska","Municipalité régionale de comté","Quebec","24",3.6,"00000","Low-income cut-offs, after-tax (LICO-AT)","0 to 5 years",1185,1480,95,40,8.0,2.7,-5.3
"2450","Nicolet-Yamaska","Municipalité régionale de comté","Quebec","24",3.6,"00000","Low-income cut-offs, after-tax (LICO-AT)","18 to 64 years",13890,13310,1115,820,8.0,6.2,-1.8
"2450","Nicolet-Yamaska","Municipalité régionale de comté","Quebec","24",3.6,"00000","Low-income cut-offs, after-tax (LICO-AT)","65 years and over",3215,4290,60,60,1.9,1.4,-0.5
"2451","Maskinongé","Municipalité régionale de comté","Quebec","24",3.6,"00000","Low-income measure, after-tax (LIM-AT)","Total - Age groups",34720,35485,6210,6170,17.9,17.4,-0.5
"2451","Maskinongé","Municipalité régionale de comté","Quebec","24",3.6,"00000","Low-income measure, after-tax (LIM-AT)","0 to 17 years",6430,6205,1230,1005,19.1,16.2,-2.9
